UserID,Txn_Count_5m,Avg_Amt_1h,Foreign_Country_Count_1d,Velocity_Score
UID_14823,0,7.49,0,17.8
UID_06168,0,220.31,0,19.3
UID_07773,3,12.68,0,22.2
UID_01738,0,66.59,0,0.0
UID_07242,0,0.0,0,0.0
UID_01399,0,51.61,1,11.6
UID_01246,0,0.0,0,0.0
UID_09773,2,321.8,0,32.3
UID_03508,3,5.78,0,25.9
UID_07196,0,52.45,0,6.6
UID_03431,1,262.75,0,21.4
UID_13073,0,0.0,0,0.0
UID_02042,0,102.16,0,27.3
UID_08728,0,26.3,0,0.3
UID_13376,2,27.51,1,14.9
UID_00303,0,17.36,0,0.0
UID_05836,1,27.39,0,19.2
UID_13397,0,0.0,0,7.0
UID_14305,0,21.85,0,23.2
UID_00547,0,29.49,0,21.3
UID_11564,0,89.53,1,18.1
UID_13450,0,108.24,0,21.6
UID_13415,3,27.41,0,26.1
UID_08594,1,20.16,0,13.8
UID_05567,0,61.14,0,21.9
UID_02247,0,0.0,0,1.8
UID_12001,0,89.66,0,0.0
UID_03079,0,129.04,0,20.5
UID_10179,0,215.98,0,1.9
UID_09041,1,106.05,0,7.5
UID_05916,0,39.6,0,8.5
UID_11572,0,103.63,0,39.3
UID_06504,0,328.7,0,26.9
UID_04892,0,20.46,0,16.8
UID_13789,0,31.69,0,7.7
UID_04701,1,114.02,1,17.5
UID_01371,3,100.59,0,31.2
UID_10088,3,29.25,0,13.2
UID_14756,0,542.53,0,24.2
UID_03952,0,204.79,0,11.3
UID_14227,0,111.29,0,26.4
UID_00408,0,56.02,0,12.0
UID_07023,0,17.08,0,11.7
UID_12533,2,20.44,0,24.7
UID_00580,1,81.95,0,16.8
UID_05097,0,14.41,0,11.1
UID_01746,0,0.0,0,0.0
UID_07038,3,24.68,0,27.9
UID_12599,0,17.15,0,5.3
UID_06823,3,35.65,0,23.7
UID_04933,0,0.0,0,0.0
UID_09020,0,20.04,0,19.2
UID_00325,0,199.02,2,10.0
UID_11901,1,38.55,0,6.5
UID_08249,0,45.54,0,25.4
UID_04342,0,292.88,0,21.9
UID_07779,0,0.0,0,7.9
UID_10270,0,14.03,0,18.5
UID_00114,0,0.0,0,6.3
UID_04277,1,49.6,1,10.1
UID_14742,0,0.0,0,0.0
UID_12830,0,0.0,0,23.5
UID_14451,0,9.85,0,0.0
UID_01633,0,21.52,0,3.8
UID_05326,0,129.7,0,7.7
UID_08552,0,26.26,1,4.5
UID_11141,1,19.01,0,4.8
UID_12254,2,25.89,2,0.0
UID_14469,1,101.57,0,17.3
UID_00645,0,11.36,0,34.4
UID_13200,1,132.42,0,2.3
UID_05184,1,49.6,0,18.7
UID_07308,0,0.0,0,0.0
UID_04874,2,18.61,0,31.1
UID_00227,0,0.0,0,1.8
UID_14197,0,202.38,0,24.6
UID_14739,0,12.45,0,17.8
UID_13080,0,53.42,0,12.8
UID_12924,2,97.87,0,27.0
UID_04066,0,18.69,0,0.0
UID_14852,0,400.25,0,22.7
UID_02776,0,0.0,0,9.4
UID_02260,4,131.38,0,22.7
UID_08132,2,21.46,1,27.3
UID_08270,0,83.55,0,13.6
UID_11397,0,69.31,1,27.4
UID_14198,0,52.38,0,14.9
UID_13712,0,39.82,0,0.8
UID_08009,0,74.0,0,23.8
UID_14343,0,161.31,0,30.2
UID_07495,0,322.32,0,19.5
UID_04655,0,56.44,0,0.0
UID_07737,2,302.43,0,18.5
UID_12471,1,190.31,0,11.5
UID_13331,0,0.0,0,12.9
UID_01608,0,93.83,0,25.5
UID_12922,0,11.41,0,19.9
UID_00828,0,13.22,0,0.0
UID_03119,0,31.68,0,0.0
UID_06156,0,15.17,0,0.4
UID_08279,0,18.68,0,17.2
UID_07549,2,21.73,0,15.3
UID_11060,3,15.04,0,26.3
UID_12180,0,0.0,0,9.3
UID_12529,0,136.04,0,0.0
UID_12000,0,16.34,0,18.3
UID_02461,2,39.16,0,28.7
UID_01640,1,120.84,0,23.6
UID_11661,0,186.45,0,13.3
UID_02663,1,5.51,0,7.0
UID_08788,0,14.68,0,8.5
UID_07554,0,430.16,0,22.6
UID_07782,0,108.93,0,26.6
UID_00958,0,39.84,0,11.0
UID_03784,0,14.24,0,14.3
UID_13290,0,446.23,0,14.2
UID_12147,0,0.0,1,0.0
UID_04925,0,211.04,2,14.9
UID_11920,0,0.0,0,0.0
UID_13550,0,748.18,0,12.5
UID_10441,2,124.69,0,15.5
UID_09108,0,5.0,0,0.0
UID_09444,0,19.87,0,0.0
UID_08331,0,5.0,1,30.3
UID_14121,0,193.37,0,21.8
UID_08667,2,21.7,0,29.0
UID_05455,0,0.0,2,5.7
UID_02004,1,734.65,0,28.3
UID_10665,1,5.0,0,22.0
UID_01099,2,55.44,0,31.0
UID_01200,0,0.0,0,0.0
UID_11179,1,22.29,0,19.0
UID_09060,0,0.0,0,4.8
UID_02926,0,12.66,0,0.0
UID_12642,0,51.96,1,8.9
UID_06032,0,176.17,0,29.5
UID_12922,0,87.99,0,7.7
UID_12077,0,36.77,0,19.2
UID_10749,1,9.95,0,21.6
UID_09618,0,63.1,0,4.7
UID_06359,0,63.12,0,31.4
UID_03696,0,311.49,1,13.2
UID_03713,0,63.22,0,18.8
UID_14627,0,26.89,0,0.0
UID_00635,0,23.23,0,22.6
UID_14739,0,52.46,0,17.2
UID_03756,0,49.29,0,6.5
UID_11665,0,0.0,0,1.2
UID_13250,0,83.62,0,17.4
UID_06603,0,208.34,0,23.6
UID_07901,1,7.27,0,2.3
UID_00465,0,78.36,0,3.6
UID_08142,0,111.79,1,10.1
UID_12098,0,0.0,0,0.0
UID_10226,0,368.34,0,22.5
UID_13058,2,176.1,0,38.9
UID_14825,0,90.92,0,13.7
UID_14045,0,5.46,0,11.2
UID_05611,1,77.15,0,18.6
UID_08464,0,0.0,0,0.0
UID_01089,2,21.63,0,37.3
UID_02007,2,337.53,2,22.1
UID_02194,0,31.71,0,21.2
UID_09129,1,65.58,2,25.1
UID_07958,0,112.77,0,12.6
UID_02032,0,0.0,1,0.0
UID_02089,2,55.14,0,38.5
UID_07797,0,25.59,0,15.7
UID_09136,0,21.43,0,0.0
UID_08477,0,26.94,0,18.9
UID_03300,0,39.34,0,11.7
UID_00545,0,84.69,0,21.8
UID_02154,0,168.42,0,7.4
UID_00537,1,83.31,0,40.1
UID_04662,0,0.0,2,9.5
UID_05195,0,263.75,0,0.0
UID_12424,0,0.0,0,0.0
UID_13837,0,55.54,0,5.7
UID_10144,1,219.23,0,19.5
UID_04809,0,96.65,1,28.6
UID_03995,0,160.73,0,19.0
UID_14034,0,60.36,2,0.0
UID_13988,0,0.0,0,8.7
UID_01326,0,0.0,1,19.3
UID_07101,0,5.0,0,6.7
UID_14292,1,69.61,0,10.8
UID_13334,0,116.23,0,22.4
UID_04630,3,71.15,0,16.9
UID_07694,0,60.11,0,1.1
UID_10148,0,161.59,1,14.5
UID_04555,0,79.02,0,10.7
UID_03246,0,230.61,1,14.5
UID_03249,0,12.46,0,0.0
UID_11837,0,5.2,0,0.0
UID_00971,2,9.78,1,9.2
UID_11287,2,47.08,0,24.2
UID_00190,1,216.08,0,20.6
UID_14549,0,21.42,2,0.0
UID_05322,0,0.0,0,0.0
UID_14889,2,30.97,1,10.3
UID_13839,0,14.99,0,7.7
UID_13226,1,223.76,0,17.6
UID_05847,2,60.49,0,9.6
UID_09553,0,66.79,0,5.8
UID_08211,1,67.67,1,18.9
UID_01295,0,205.5,2,35.8
UID_06465,0,84.26,1,18.8
UID_00703,0,35.96,0,0.0
UID_00916,0,31.67,0,26.1
UID_05998,0,14.06,1,1.9
UID_02759,0,196.13,0,15.1
UID_04371,1,143.39,0,29.8
UID_06131,0,88.26,0,29.9
UID_06707,1,87.0,0,16.2
UID_14481,0,222.53,0,29.1
UID_13616,0,80.52,0,9.0
UID_02097,0,292.28,2,13.6
UID_06512,1,61.49,0,24.9
UID_07352,4,16.89,0,14.3
UID_02553,0,113.55,0,20.5
UID_11461,0,15.44,2,17.4
UID_07820,0,0.0,1,12.5
UID_04799,0,0.0,0,0.0
UID_11190,2,144.06,0,18.3
UID_00789,2,76.6,0,8.6
UID_03413,3,24.98,2,29.5
UID_00420,0,43.66,2,14.9
UID_03639,2,50.52,1,9.8
UID_09429,0,176.21,0,13.1
UID_07516,0,64.9,0,20.7
UID_10685,0,0.0,0,15.1
UID_13993,1,79.95,0,24.6
UID_00799,0,162.1,0,29.1
UID_13280,0,311.22,0,21.3
UID_08955,0,79.87,0,25.0
UID_05739,0,99.22,0,27.6
UID_09934,1,102.21,0,14.1
UID_07085,0,0.0,0,0.0
UID_09216,0,19.14,0,0.0
UID_06748,3,46.88,0,22.1
UID_09737,0,196.37,1,7.8
UID_12896,0,17.12,0,0.0
UID_06398,0,31.34,0,8.9
UID_02619,0,20.16,0,8.1
UID_00015,0,118.86,0,17.0
UID_07323,0,11.88,0,0.0
UID_00629,1,15.73,0,8.1
UID_04281,2,132.53,0,12.3
UID_04030,0,112.44,0,15.3
UID_06803,0,0.0,0,2.1
UID_12670,0,31.67,0,0.0
UID_03004,1,86.32,0,15.6
UID_00974,1,7.92,0,5.1
UID_08102,2,91.78,0,26.6
UID_04638,0,0.0,0,0.2
UID_13778,0,0.0,0,0.0
UID_07743,0,145.12,0,14.4
UID_13118,0,21.71,0,4.3
UID_01516,4,52.35,0,45.9
UID_09450,0,14.77,0,2.6
UID_14296,0,0.0,0,0.0
UID_06218,0,13.2,0,15.6
UID_10243,0,11.73,0,0.0
UID_10506,0,24.88,0,16.5
UID_10750,0,41.09,1,23.3
UID_00237,0,25.85,0,3.7
UID_11336,0,6.43,0,14.8
UID_11724,1,115.54,0,24.6
UID_05290,3,48.95,0,7.2
UID_04844,0,101.18,0,27.0
UID_10592,1,254.73,1,21.9
UID_08751,0,27.82,0,30.3
UID_11106,2,26.41,0,26.2
UID_09179,0,8.53,2,7.2
UID_03664,1,877.38,0,30.9
UID_03201,0,20.24,0,8.2
UID_06331,2,119.06,0,24.3
UID_12567,0,91.68,0,14.6
UID_13736,0,15.7,0,8.6
UID_11640,0,103.29,1,31.6
UID_04138,0,0.0,2,12.8
UID_04777,0,543.14,0,15.3
UID_03063,2,63.82,0,4.5
UID_02839,1,10.2,0,2.4
UID_02280,1,46.09,0,19.4
UID_03738,0,48.63,0,26.1
UID_12982,0,0.0,0,3.5
UID_10775,2,59.46,0,25.9
UID_07889,0,56.28,0,0.0
UID_01402,0,24.96,1,10.7
UID_00502,0,0.0,0,0.9
UID_03958,1,44.38,0,8.6
UID_02189,0,41.46,0,0.0
UID_00662,1,20.31,0,7.8
UID_10487,1,305.35,0,14.1
UID_04227,0,36.22,1,19.4
UID_05979,3,5.43,0,36.0
UID_01371,0,22.51,0,7.4
UID_00487,3,120.56,0,40.6
UID_13403,1,87.6,1,20.0
UID_05394,0,54.88,0,20.4
UID_07873,0,97.75,0,0.4
UID_10854,2,134.69,0,29.4
UID_06154,0,13.68,1,14.9
UID_04141,0,0.0,0,14.9
UID_00074,0,0.0,0,4.2
UID_00874,0,46.03,0,13.7
UID_00804,0,0.0,0,1.3
UID_03956,1,140.0,0,29.5
UID_09397,0,24.99,0,15.3
UID_11706,0,0.0,0,1.0
UID_14003,0,187.32,0,0.0
UID_09630,1,119.76,0,27.0
UID_05938,0,172.1,0,24.8
UID_00886,0,0.0,0,0.0
UID_12370,0,58.32,0,33.7
UID_00961,2,61.09,0,33.5
UID_07830,1,5.48,0,29.1
UID_14511,1,11.53,1,26.4
UID_05315,0,28.7,0,22.9
UID_02468,2,109.41,0,16.2
UID_04049,2,23.51,0,21.5
UID_04547,0,112.1,0,19.2
UID_06141,0,7.7,0,0.0
UID_00621,1,20.6,0,13.9
UID_03934,0,19.9,0,17.2
UID_00857,0,0.0,0,8.4
UID_13390,3,34.89,0,31.2
UID_14974,3,46.84,0,24.4
UID_14819,0,70.45,0,3.4
UID_14343,0,0.0,0,3.1
UID_12554,0,0.0,0,28.6
UID_01209,0,51.92,0,23.7
UID_13413,0,216.74,0,3.6
UID_02570,3,17.7,0,23.9
UID_14897,0,62.2,0,10.1
UID_14876,0,117.37,0,12.5
UID_05971,2,79.76,0,18.1
UID_08053,0,42.88,0,31.1
UID_02060,0,0.0,0,9.2
UID_09920,1,36.37,0,8.1
UID_02907,0,36.01,0,0.0
UID_00467,0,80.33,0,16.8
UID_12824,1,45.56,0,23.9
UID_06156,1,114.77,0,27.4
UID_00945,0,5.41,1,0.0
UID_07363,0,65.43,0,15.2
UID_01318,0,13.6,0,13.3
UID_14878,2,46.39,0,14.6
UID_12437,0,84.79,0,1.7
UID_13293,0,106.78,0,0.0
UID_10614,0,131.97,0,26.6
UID_11062,0,34.66,0,10.1
UID_00627,2,89.44,0,32.2
UID_00926,0,0.0,0,0.0
UID_02163,0,42.49,0,19.3
UID_11872,0,131.3,0,32.3
UID_04258,0,31.29,0,13.9
UID_11381,1,83.6,0,19.1
UID_06402,0,223.13,0,6.0
UID_11239,0,100.78,0,28.2
UID_08933,0,130.84,1,18.3
UID_00660,0,32.18,2,12.9
UID_08709,0,168.99,0,18.9
UID_01451,1,261.5,0,26.9
UID_13464,0,0.0,0,0.9
UID_12307,0,479.77,0,3.2
UID_09395,1,474.16,0,33.2
UID_03474,2,29.06,0,6.1
UID_08615,0,50.12,0,17.1
UID_08699,3,87.06,0,29.5
UID_05057,0,14.66,0,0.0
UID_10131,1,18.47,0,0.0
UID_08147,0,0.0,0,0.0
UID_10637,2,136.13,0,11.9
UID_05863,2,38.35,0,0.3
UID_00502,0,7.66,0,16.2
UID_05406,0,0.0,0,0.0
UID_03808,0,22.95,0,16.5
UID_05900,2,116.59,0,22.7
UID_13764,2,34.74,1,25.1
UID_08877,0,0.0,0,0.0
UID_06675,0,5.75,0,19.9
UID_13649,3,21.14,0,37.3
UID_04737,1,54.6,0,14.3
UID_00242,0,152.17,0,23.3
UID_04498,0,101.28,0,15.6
UID_08977,0,13.71,0,14.5
UID_10321,0,118.86,0,17.4
UID_00382,1,110.21,0,0.4
UID_14910,0,65.35,0,6.7
UID_04502,1,90.17,0,29.8
UID_12813,0,0.0,0,13.4
UID_10725,0,34.01,1,4.6
UID_10311,0,102.42,0,9.3
UID_04636,0,23.28,0,26.6
UID_04694,0,98.78,0,19.8
UID_12476,1,11.97,0,0.0
UID_07976,1,10.29,0,7.6
UID_02701,0,32.92,0,25.5
UID_06063,0,23.42,1,16.3
UID_11767,0,36.29,2,27.1
UID_12582,3,5.0,0,16.7
UID_09527,1,267.36,0,24.2
UID_11619,2,76.75,0,10.4
UID_01174,0,239.99,0,7.9
UID_05101,0,106.71,0,17.5
UID_09386,0,35.03,0,3.1
UID_00507,2,34.98,0,22.5
UID_09414,0,0.0,0,0.0
UID_09654,0,75.9,0,9.4
UID_07401,0,34.67,0,9.3
UID_07298,0,0.0,0,2.8
UID_14538,0,87.27,0,39.3
UID_02190,0,20.48,0,3.6
UID_02906,2,31.79,0,10.4
UID_03847,0,90.75,0,6.0
UID_07972,0,141.11,0,15.7
UID_11961,0,15.38,0,0.0
UID_01061,3,94.35,0,42.0
UID_04367,2,121.0,0,14.5
UID_13333,0,57.42,0,0.0
UID_05235,0,22.7,0,7.7
UID_08588,0,184.73,0,11.9
UID_06468,3,63.38,0,19.8
UID_00034,1,105.78,0,32.7
UID_11880,1,11.04,0,13.1
UID_05412,2,47.97,0,13.2
UID_02998,0,21.03,0,0.0
UID_06372,0,6.19,0,0.0
UID_01385,0,43.77,0,11.5
UID_13080,3,22.48,0,24.7
UID_10043,0,32.01,0,8.7
UID_00476,1,150.3,0,38.2
UID_00343,0,27.85,0,0.0
UID_04437,0,332.54,0,21.7
UID_09364,2,162.78,0,32.2
UID_10090,1,39.76,0,10.8
UID_05656,0,181.73,0,0.0
UID_00256,0,80.0,0,13.3
UID_06344,0,848.64,0,21.1
UID_09360,0,22.18,0,5.4
UID_07371,0,69.06,1,11.2
UID_06688,0,133.76,0,20.5
UID_05834,0,9.16,0,11.2
UID_06565,2,81.49,0,26.2
UID_10780,0,14.56,0,0.0
