LogID,TransactionID,Model_Version,Prediction_Score,Decision_Engine_Result,Final_Outcome,FeatureVector
LID_000078,TID_000078,v1.3,0.0611,ACCEPT,CLEARED,"{""Txn_Amt"": 6.16, ""Txn_Count_5m"": 4, ""Geo_Match"": false, ""Risk_Score"": 32.5}"
LID_000079,TID_000079,v1.3,0.026,ACCEPT,CLEARED,"{""Txn_Amt"": 14.64, ""Txn_Count_5m"": 2, ""Geo_Match"": false, ""Risk_Score"": 64.4}"
LID_000080,TID_000080,v1.4,0.1186,REVIEW,FRAUD,"{""Txn_Amt"": 6.28, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 8.8}"
LID_000081,TID_000081,v1.4,0.241,REVIEW,CLEARED,"{""Txn_Amt"": 19.99, ""Txn_Count_5m"": 0, ""Geo_Match"": true, ""Risk_Score"": 61.3}"
LID_000082,TID_000082,v1.3,0.0067,ACCEPT,CLEARED,"{""Txn_Amt"": 9.94, ""Txn_Count_5m"": 4, ""Geo_Match"": false, ""Risk_Score"": 8.9}"
LID_000083,TID_000083,v1.3,0.068,ACCEPT,CLEARED,"{""Txn_Amt"": 183.77, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 96.3}"
LID_000084,TID_000084,v1.3,0.0016,ACCEPT,CLEARED,"{""Txn_Amt"": 67.84, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 22.2}"
LID_000085,TID_000085,v1.3,0.3356,REVIEW,CLEARED,"{""Txn_Amt"": 747.3, ""Txn_Count_5m"": 1, ""Geo_Match"": false, ""Risk_Score"": 70.5}"
LID_000086,TID_000086,v1.3,0.1819,REVIEW,CLEARED,"{""Txn_Amt"": 21.18, ""Txn_Count_5m"": 3, ""Geo_Match"": false, ""Risk_Score"": 89.9}"
LID_000087,TID_000087,v1.3,0.2801,REVIEW,CLEARED,"{""Txn_Amt"": 105.93, ""Txn_Count_5m"": 3, ""Geo_Match"": true, ""Risk_Score"": 35.6}"
LID_000088,TID_000088,v1.3,0.1423,REVIEW,CLEARED,"{""Txn_Amt"": 83.98, ""Txn_Count_5m"": 4, ""Geo_Match"": true, ""Risk_Score"": 76.4}"
LID_000089,TID_000089,v1.4,0.0289,ACCEPT,CLEARED,"{""Txn_Amt"": 191.29, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 87.8}"
LID_000090,TID_000090,v1.3,0.1264,REVIEW,CLEARED,"{""Txn_Amt"": 191.07, ""Txn_Count_5m"": 3, ""Geo_Match"": false, ""Risk_Score"": 79.0}"
LID_000091,TID_000091,v1.3,0.1923,REVIEW,CLEARED,"{""Txn_Amt"": 72.73, ""Txn_Count_5m"": 4, ""Geo_Match"": true, ""Risk_Score"": 85.0}"
LID_000092,TID_000092,v1.2,0.0148,ACCEPT,CLEARED,"{""Txn_Amt"": 547.74, ""Txn_Count_5m"": 3, ""Geo_Match"": true, ""Risk_Score"": 3.5}"
LID_000093,TID_000093,v1.3,0.0272,ACCEPT,CLEARED,"{""Txn_Amt"": 105.13, ""Txn_Count_5m"": 1, ""Geo_Match"": true, ""Risk_Score"": 40.0}"
LID_000094,TID_000094,v1.4,0.0669,ACCEPT,CLEARED,"{""Txn_Amt"": 158.47, ""Txn_Count_5m"": 1, ""Geo_Match"": false, ""Risk_Score"": 80.4}"
LID_000095,TID_000095,v1.3,0.057,ACCEPT,CLEARED,"{""Txn_Amt"": 62.78, ""Txn_Count_5m"": 1, ""Geo_Match"": false, ""Risk_Score"": 57.9}"
LID_000096,TID_000096,v1.4,0.0089,ACCEPT,CLEARED,"{""Txn_Amt"": 57.25, ""Txn_Count_5m"": 3, ""Geo_Match"": false, ""Risk_Score"": 75.2}"
LID_000097,TID_000097,v1.3,0.1178,REVIEW,CLEARED,"{""Txn_Amt"": 27.82, ""Txn_Count_5m"": 1, ""Geo_Match"": true, ""Risk_Score"": 99.3}"
LID_000098,TID_000098,v1.4,0.3221,REVIEW,CLEARED,"{""Txn_Amt"": 162.18, ""Txn_Count_5m"": 1, ""Geo_Match"": true, ""Risk_Score"": 55.1}"
LID_000099,TID_000099,v1.4,0.1703,REVIEW,CLEARED,"{""Txn_Amt"": 127.29, ""Txn_Count_5m"": 4, ""Geo_Match"": true, ""Risk_Score"": 47.4}"
LID_000100,TID_000100,v1.3,0.0388,ACCEPT,CLEARED,"{""Txn_Amt"": 46.01, ""Txn_Count_5m"": 0, ""Geo_Match"": true, ""Risk_Score"": 31.0}"
LID_000101,TID_000101,v1.3,0.0116,ACCEPT,CLEARED,"{""Txn_Amt"": 23.05, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 67.5}"
LID_000102,TID_000102,v1.3,0.523,DECLINE,FRAUD,"{""Txn_Amt"": 30.47, ""Txn_Count_5m"": 4, ""Geo_Match"": true, ""Risk_Score"": 96.8}"
LID_000103,TID_000103,v1.2,0.001,ACCEPT,CLEARED,"{""Txn_Amt"": 10.83, ""Txn_Count_5m"": 1, ""Geo_Match"": true, ""Risk_Score"": 93.5}"
LID_000104,TID_000104,v1.3,0.0913,ACCEPT,CLEARED,"{""Txn_Amt"": 34.74, ""Txn_Count_5m"": 0, ""Geo_Match"": true, ""Risk_Score"": 98.7}"
LID_000105,TID_000105,v1.3,0.1239,REVIEW,CLEARED,"{""Txn_Amt"": 139.91, ""Txn_Count_5m"": 0, ""Geo_Match"": true, ""Risk_Score"": 58.0}"
LID_000106,TID_000106,v1.3,0.0909,ACCEPT,CLEARED,"{""Txn_Amt"": 58.98, ""Txn_Count_5m"": 1, ""Geo_Match"": true, ""Risk_Score"": 6.2}"
LID_000107,TID_000107,v1.3,0.0057,ACCEPT,CLEARED,"{""Txn_Amt"": 69.77, ""Txn_Count_5m"": 0, ""Geo_Match"": true, ""Risk_Score"": 10.0}"
LID_000108,TID_000108,v1.4,0.0721,ACCEPT,CLEARED,"{""Txn_Amt"": 99.35, ""Txn_Count_5m"": 4, ""Geo_Match"": true, ""Risk_Score"": 87.8}"
LID_000109,TID_000109,v1.4,0.051,ACCEPT,CLEARED,"{""Txn_Amt"": 181.67, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 66.2}"
LID_000110,TID_000110,v1.3,0.0014,ACCEPT,CLEARED,"{""Txn_Amt"": 9.17, ""Txn_Count_5m"": 3, ""Geo_Match"": true, ""Risk_Score"": 1.5}"
LID_000111,TID_000111,v1.4,0.3236,REVIEW,CLEARED,"{""Txn_Amt"": 30.13, ""Txn_Count_5m"": 4, ""Geo_Match"": false, ""Risk_Score"": 93.4}"
LID_000112,TID_000112,v1.3,0.185,REVIEW,CLEARED,"{""Txn_Amt"": 75.5, ""Txn_Count_5m"": 0, ""Geo_Match"": true, ""Risk_Score"": 98.9}"
LID_000113,TID_000113,v1.3,0.0043,ACCEPT,CLEARED,"{""Txn_Amt"": 78.18, ""Txn_Count_5m"": 2, ""Geo_Match"": true, ""Risk_Score"": 91.4}"
LID_000114,TID_000114,v1.3,0.0882,ACCEPT,CLEARED,"{""Txn_Amt"": 83.7, ""Txn_Count_5m"": 2, ""Geo_Match"": true, ""Risk_Score"": 59.9}"
LID_000115,TID_000115,v1.4,0.0331,ACCEPT,CLEARED,"{""Txn_Amt"": 234.75, ""Txn_Count_5m"": 1, ""Geo_Match"": false, ""Risk_Score"": 79.3}"
LID_000116,TID_000116,v1.3,0.0399,ACCEPT,CLEARED,"{""Txn_Amt"": 31.34, ""Txn_Count_5m"": 3, ""Geo_Match"": true, ""Risk_Score"": 49.9}"
LID_000117,TID_000117,v1.2,0.3623,REVIEW,CLEARED,"{""Txn_Amt"": 164.2, ""Txn_Count_5m"": 3, ""Geo_Match"": false, ""Risk_Score"": 79.6}"
LID_000118,TID_000118,v1.4,0.208,REVIEW,CLEARED,"{""Txn_Amt"": 108.73, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 97.8}"
LID_000119,TID_000119,v1.2,0.04,ACCEPT,CLEARED,"{""Txn_Amt"": 149.19, ""Txn_Count_5m"": 3, ""Geo_Match"": true, ""Risk_Score"": 14.3}"
LID_000120,TID_000120,v1.4,0.1322,REVIEW,CLEARED,"{""Txn_Amt"": 47.47, ""Txn_Count_5m"": 4, ""Geo_Match"": true, ""Risk_Score"": 49.2}"
LID_000121,TID_000121,v1.4,0.0133,ACCEPT,CLEARED,"{""Txn_Amt"": 954.03, ""Txn_Count_5m"": 1, ""Geo_Match"": false, ""Risk_Score"": 82.9}"
LID_000122,TID_000122,v1.4,0.0144,ACCEPT,CLEARED,"{""Txn_Amt"": 147.32, ""Txn_Count_5m"": 3, ""Geo_Match"": true, ""Risk_Score"": 81.1}"
LID_000123,TID_000123,v1.4,0.1118,REVIEW,CLEARED,"{""Txn_Amt"": 78.12, ""Txn_Count_5m"": 4, ""Geo_Match"": false, ""Risk_Score"": 68.7}"
LID_000124,TID_000124,v1.3,0.0309,ACCEPT,CLEARED,"{""Txn_Amt"": 109.66, ""Txn_Count_5m"": 1, ""Geo_Match"": false, ""Risk_Score"": 10.8}"
LID_000125,TID_000125,v1.2,0.0474,ACCEPT,CLEARED,"{""Txn_Amt"": 24.11, ""Txn_Count_5m"": 1, ""Geo_Match"": false, ""Risk_Score"": 30.3}"
LID_000126,TID_000126,v1.3,0.001,ACCEPT,CLEARED,"{""Txn_Amt"": 53.17, ""Txn_Count_5m"": 3, ""Geo_Match"": false, ""Risk_Score"": 70.3}"
LID_000127,TID_000127,v1.4,0.0535,ACCEPT,CLEARED,"{""Txn_Amt"": 305.37, ""Txn_Count_5m"": 2, ""Geo_Match"": true, ""Risk_Score"": 69.5}"
LID_000128,TID_000128,v1.4,0.001,ACCEPT,CLEARED,"{""Txn_Amt"": 128.49, ""Txn_Count_5m"": 2, ""Geo_Match"": false, ""Risk_Score"": 10.1}"
LID_000129,TID_000129,v1.3,0.0096,ACCEPT,CLEARED,"{""Txn_Amt"": 1046.86, ""Txn_Count_5m"": 3, ""Geo_Match"": true, ""Risk_Score"": 5.3}"
LID_000130,TID_000130,v1.3,0.1133,REVIEW,CLEARED,"{""Txn_Amt"": 144.5, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 26.7}"
LID_000131,TID_000131,v1.4,0.0162,ACCEPT,CLEARED,"{""Txn_Amt"": 66.28, ""Txn_Count_5m"": 1, ""Geo_Match"": true, ""Risk_Score"": 24.9}"
LID_000132,TID_000132,v1.3,0.2936,REVIEW,CLEARED,"{""Txn_Amt"": 79.94, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 39.2}"
LID_000133,TID_000133,v1.4,0.1765,REVIEW,CLEARED,"{""Txn_Amt"": 11.75, ""Txn_Count_5m"": 0, ""Geo_Match"": true, ""Risk_Score"": 36.0}"
LID_000134,TID_000134,v1.3,0.0047,ACCEPT,CLEARED,"{""Txn_Amt"": 448.13, ""Txn_Count_5m"": 3, ""Geo_Match"": true, ""Risk_Score"": 3.7}"
LID_000135,TID_000135,v1.4,0.0533,ACCEPT,CLEARED,"{""Txn_Amt"": 168.15, ""Txn_Count_5m"": 2, ""Geo_Match"": true, ""Risk_Score"": 83.7}"
LID_000136,TID_000136,v1.4,0.0452,ACCEPT,CLEARED,"{""Txn_Amt"": 22.07, ""Txn_Count_5m"": 2, ""Geo_Match"": true, ""Risk_Score"": 50.5}"
LID_000137,TID_000137,v1.3,0.1293,REVIEW,CLEARED,"{""Txn_Amt"": 428.48, ""Txn_Count_5m"": 0, ""Geo_Match"": false, ""Risk_Score"": 9.8}"
LID_000138,TID_000138,v1.4,0.0966,ACCEPT,CLEARED,"{""Txn_Amt"": 811.98, ""Txn_Count_5m"": 3, ""Geo_Match"": true, ""Risk_Score"": 0.7}"
LID_000139,TID_000139,v1.4,0.0738,ACCEPT,CLEARED,"{""Txn_Amt"": 48.84, ""Txn_Count_5m"": 3, ""Geo_Match"": true, ""Risk_Score"": 36.7}"
LID_000140,TID_000140,v1.3,0.2258,REVIEW,CLEARED,"{""Txn_Amt"": 84.81, ""Txn_Count_5m"": 3, ""Geo_Match"": false, ""Risk_Score"": 33.8}"
LID_000141,TID_000141,v1.4,0.0725,ACCEPT,CLEARED,"{""Txn_Amt"": 72.43, ""Txn_Count_5m"": 3, ""Geo_Match"": false, ""Risk_Score"": 6.0}"
LID_000142,TID_000142,v1.3,0.1004,REVIEW,CLEARED,"{""Txn_Amt"": 65.5, ""Txn_Count_5m"": 1, ""Geo_Match"": false, ""Risk_Score"": 3.5}"
LID_000143,TID_000143,v1.4,0.0664,ACCEPT,CLEARED,"{""Txn_Amt"": 63.87, ""Txn_Count_5m"": 3, ""Geo_Match"": true, ""Risk_Score"": 38.4}"
LID_000144,TID_000144,v1.3,0.001,ACCEPT,CLEARED,"{""Txn_Amt"": 22.24, ""Txn_Count_5m"": 3, ""Geo_Match"": false, ""Risk_Score"": 29.5}"
