MerchantID,Industry_Code,Avg_Transaction_Size,Fraud_Rate_30d,GeoBlacklist
MID_00062,IND_20,235.76,0.0137,"[""RU"", ""IR""]"
MID_00063,IND_09,637.86,0.0067,"[""CD""]"
MID_00064,IND_03,559.92,0.0032,"[""UA""]"
MID_00065,IND_18,1.0,0.0164,[]
MID_00066,IND_03,635.75,0.0072,"[""CD"", ""RU""]"
MID_00067,IND_15,167.88,0.0101,[]
MID_00068,IND_08,970.82,0.0082,"[""VE"", ""RU""]"
MID_00069,IND_22,30.38,0.0104,[]
MID_00070,IND_07,247.98,0.0062,[]
MID_00071,IND_10,903.62,0.0139,"[""CD""]"
MID_00072,IND_17,41.68,0.0234,[]
MID_00073,IND_26,5.0,0.012,[]
MID_00074,IND_08,1.0,0.0067,[]
MID_00075,IND_08,219.08,0.0051,"[""RU""]"
MID_00076,IND_10,1016.97,0.0106,[]
MID_00077,IND_02,137.27,0.0039,"[""KP"", ""VE""]"
MID_00078,IND_20,209.71,0.0053,[]
MID_00079,IND_09,361.88,0.007,"[""RU""]"
MID_00080,IND_07,582.76,0.0052,[]
MID_00081,IND_06,1.0,0.009,"[""AF""]"
MID_00082,IND_04,260.23,0.0039,[]
MID_00083,IND_08,92.01,0.0026,[]
MID_00084,IND_02,317.01,0.0023,"[""UA""]"
MID_00085,IND_18,243.47,0.0082,"[""IQ"", ""UA""]"
MID_00086,IND_20,172.39,0.0044,"[""UA""]"
MID_00087,IND_08,918.86,0.0175,"[""CD""]"
MID_00088,IND_19,165.07,0.014,[]
MID_00089,IND_07,723.25,0.0148,[]
MID_00090,IND_08,470.48,0.002,"[""AF"", ""SY"", ""VE""]"
MID_00091,IND_06,691.66,0.0046,[]
MID_00092,IND_04,281.41,0.0118,"[""CD"", ""IR""]"
MID_00093,IND_02,1.0,0.0014,[]
MID_00094,IND_12,172.45,0.0066,"[""UA""]"
MID_00095,IND_20,198.11,0.0165,[]
MID_00096,IND_10,619.06,0.0085,[]
MID_00097,IND_14,223.91,0.0172,[]
MID_00098,IND_12,220.1,0.0037,"[""IR""]"
MID_00099,IND_06,289.97,0.0039,[]
MID_00100,IND_12,1.0,0.0057,"[""IQ""]"
MID_00101,IND_04,725.52,0.0174,[]
MID_00102,IND_07,1000.7,0.0175,[]
MID_00103,IND_20,136.66,0.0018,[]
MID_00104,IND_10,591.9,0.0101,[]
MID_00105,IND_30,47.69,0.0153,[]
MID_00106,IND_06,788.52,0.0081,[]
MID_00107,IND_27,59.54,0.0124,[]
MID_00108,IND_10,139.08,0.0156,[]
MID_00109,IND_28,70.73,0.0107,"[""AF"", ""SY"", ""UA""]"
MID_00110,IND_19,179.96,0.0044,[]
MID_00111,IND_16,171.42,0.0061,[]
MID_00112,IND_01,578.2,0.0011,"[""RU""]"
MID_00113,IND_10,709.75,0.0084,[]
MID_00114,IND_04,359.97,0.0178,[]
MID_00115,IND_12,44.38,0.0028,[]
MID_00116,IND_17,141.82,0.0137,"[""IR"", ""CD""]"
MID_00117,IND_20,210.48,0.02,"[""SY"", ""CD""]"
MID_00118,IND_28,8.95,0.012,[]
MID_00119,IND_13,96.2,0.0153,[]
MID_00120,IND_07,541.69,0.0139,[]
MID_00121,IND_12,202.23,0.0197,[]
MID_00122,IND_20,32.37,0.0056,"[""RU"", ""CD""]"
MID_00123,IND_20,100.37,0.003,[]
MID_00124,IND_13,182.57,0.0194,"[""SY"", ""AF""]"
MID_00125,IND_10,527.31,0.0089,[]
MID_00126,IND_09,524.04,0.0078,[]
MID_00127,IND_06,169.08,0.0057,"[""CD"", ""IQ""]"
MID_00128,IND_06,290.36,0.0098,"[""CD""]"
MID_00129,IND_18,281.84,0.0098,"[""KP""]"
MID_00130,IND_06,557.13,0.0026,[]
MID_00131,IND_11,224.38,0.0181,"[""AF""]"
MID_00132,IND_19,240.53,0.0059,"[""RU""]"
MID_00133,IND_18,15.64,0.0095,[]
MID_00134,IND_06,589.97,0.0068,"[""CD"", ""SY""]"
MID_00135,IND_08,792.29,0.0061,[]
MID_00136,IND_15,114.94,0.0062,[]
MID_00137,IND_15,251.22,0.0057,"[""SY"", ""AF""]"
MID_00138,IND_22,83.42,0.0015,[]
MID_00139,IND_01,607.84,0.0127,[]
MID_00140,IND_17,266.62,0.0022,"[""RU""]"
MID_00141,IND_30,52.51,0.0218,"[""SY"", ""IR""]"
MID_00142,IND_01,374.11,0.0091,[]
MID_00143,IND_24,67.45,0.0088,[]
MID_00144,IND_21,48.76,0.0122,[]
MID_00145,IND_16,84.77,0.0026,"[""UA"", ""SY""]"
MID_00146,IND_24,36.62,0.0114,[]
MID_00147,IND_05,1157.23,0.0085,"[""KP"", ""SY""]"
MID_00148,IND_04,986.28,0.0191,"[""KP""]"
MID_00149,IND_06,550.75,0.0027,[]
MID_00150,IND_08,623.45,0.007,[]
MID_00151,IND_03,43.27,0.018,"[""IR"", ""UA"", ""KP""]"
MID_00152,IND_13,191.59,0.0069,[]
MID_00153,IND_05,885.33,0.0122,[]
MID_00154,IND_06,700.11,0.011,[]
MID_00155,IND_07,498.61,0.0026,[]
MID_00156,IND_10,580.69,0.01,[]
MID_00157,IND_24,38.32,0.0178,"[""IQ"", ""CD""]"
MID_00158,IND_12,188.79,0.0033,[]
MID_00159,IND_12,162.74,0.0105,"[""SY""]"
MID_00160,IND_13,252.76,0.0182,[]
MID_00161,IND_05,545.62,0.0151,"[""UA"", ""IR"", ""CD""]"
MID_00162,IND_14,53.15,0.0041,[]
MID_00163,IND_19,164.63,0.0125,[]
MID_00164,IND_15,80.58,0.0024,[]
MID_00165,IND_02,384.78,0.0081,[]
MID_00166,IND_08,562.09,0.0165,[]
MID_00167,IND_03,437.47,0.0069,"[""RU"", ""CD""]"
MID_00168,IND_01,634.1,0.0065,[]
MID_00169,IND_10,879.63,0.0079,[]
MID_00170,IND_03,789.9,0.0025,"[""IQ"", ""CD""]"
MID_00171,IND_01,432.9,0.0075,[]
MID_00172,IND_03,1008.66,0.012,[]
MID_00173,IND_28,76.66,0.0141,"[""UA""]"
MID_00174,IND_11,1.0,0.0037,[]
MID_00175,IND_08,293.18,0.0053,[]
MID_00176,IND_20,170.54,0.0108,"[""KP""]"
MID_00177,IND_09,311.87,0.0101,"[""IR"", ""UA""]"
MID_00178,IND_14,226.48,0.0094,"[""VE""]"
MID_00179,IND_04,772.91,0.0093,[]
MID_00180,IND_24,57.58,0.0042,[]
MID_00181,IND_18,173.07,0.0137,[]
MID_00182,IND_17,161.84,0.0109,[]
MID_00183,IND_04,388.94,0.0071,[]
MID_00184,IND_02,193.74,0.0132,[]
MID_00185,IND_01,273.04,0.0091,"[""AF""]"
MID_00186,IND_20,52.4,0.0064,[]
MID_00187,IND_10,912.49,0.0186,[]
MID_00188,IND_07,440.64,0.0128,[]
MID_00189,IND_19,91.77,0.0029,"[""UA"", ""RU""]"
MID_00190,IND_22,6.1,0.0088,[]
MID_00191,IND_16,210.96,0.0127,"[""IQ""]"
MID_00192,IND_11,39.33,0.004,[]
MID_00193,IND_02,292.01,0.0102,[]
MID_00194,IND_15,191.5,0.0031,[]
MID_00195,IND_04,222.84,0.0069,[]
MID_00196,IND_18,177.74,0.0068,[]
MID_00197,IND_13,109.93,0.0015,"[""IR""]"
MID_00198,IND_19,58.33,0.0109,"[""AF""]"
MID_00199,IND_05,256.49,0.0119,[]
MID_00200,IND_16,98.87,0.0144,[]
MID_00201,IND_18,1.0,0.0152,[]
MID_00202,IND_06,590.3,0.0197,[]
MID_00203,IND_01,413.06,0.0045,"[""RU""]"
MID_00204,IND_01,1.0,0.0146,[]
MID_00205,IND_16,120.92,0.0044,[]
MID_00206,IND_15,98.52,0.0034,[]
MID_00207,IND_11,147.34,0.0079,[]
MID_00208,IND_15,113.29,0.0062,"[""KP""]"
MID_00209,IND_05,1007.89,0.01,[]
MID_00210,IND_18,87.23,0.0079,"[""VE""]"
MID_00211,IND_15,184.79,0.0087,[]
MID_00212,IND_03,679.21,0.0077,[]
MID_00213,IND_11,53.98,0.0177,"[""VE""]"
MID_00214,IND_15,203.23,0.0118,[]
MID_00215,IND_17,67.04,0.0077,"[""IR"", ""KP""]"
MID_00216,IND_15,120.06,0.0035,[]
MID_00217,IND_10,523.71,0.0119,[]
MID_00218,IND_13,245.54,0.003,[]
MID_00219,IND_02,748.79,0.0134,[]
MID_00220,IND_18,176.59,0.0216,[]
MID_00221,IND_18,211.59,0.0152,[]
MID_00222,IND_15,214.46,0.0023,[]
MID_00223,IND_08,174.57,0.0056,[]
MID_00224,IND_28,14.95,0.0043,[]
MID_00225,IND_07,763.51,0.0028,[]
MID_00226,IND_15,60.73,0.0091,"[""RU""]"
MID_00227,IND_05,596.84,0.0136,[]
MID_00228,IND_08,561.26,0.0093,"[""AF""]"
MID_00229,IND_13,193.03,0.0136,[]
MID_00230,IND_15,1.0,0.0051,[]
MID_00231,IND_19,1.0,0.0141,[]
MID_00232,IND_05,276.2,0.0072,"[""IR"", ""UA""]"
MID_00233,IND_04,342.91,0.0071,[]
MID_00234,IND_09,513.65,0.0093,"[""VE"", ""SY"", ""UA""]"
MID_00235,IND_17,90.46,0.0078,[]
MID_00236,IND_04,766.44,0.0058,[]
MID_00237,IND_17,118.8,0.0061,[]
MID_00238,IND_11,120.91,0.0063,"[""IQ""]"
MID_00239,IND_11,124.12,0.0123,"[""KP"", ""AF"", ""IR""]"
MID_00240,IND_01,503.35,0.0144,[]
MID_00241,IND_29,43.03,0.0075,"[""UA""]"
MID_00242,IND_13,75.49,0.0122,[]
MID_00243,IND_15,182.31,0.0087,[]
MID_00244,IND_01,716.11,0.0121,[]
MID_00245,IND_21,45.69,0.0068,[]
MID_00246,IND_17,95.26,0.0119,"[""VE""]"
MID_00247,IND_13,120.69,0.0185,[]
MID_00248,IND_02,927.57,0.0088,[]
MID_00249,IND_13,136.93,0.012,"[""IQ""]"
MID_00250,IND_01,254.36,0.0085,[]
MID_00251,IND_01,671.85,0.005,[]
MID_00252,IND_10,317.9,0.0077,"[""IQ""]"
MID_00253,IND_10,351.34,0.0129,[]
MID_00254,IND_20,58.85,0.0099,"[""UA"", ""KP""]"
MID_00255,IND_01,44.43,0.0039,"[""IR"", ""SY""]"
MID_00256,IND_07,208.5,0.0026,[]
MID_00257,IND_13,223.47,0.0155,"[""KP""]"
MID_00258,IND_13,133.5,0.0123,[]
MID_00259,IND_13,284.47,0.0089,"[""UA"", ""KP""]"
MID_00260,IND_13,287.85,0.0119,[]
MID_00261,IND_11,51.27,0.0077,[]
MID_00262,IND_02,435.11,0.018,[]
MID_00263,IND_06,644.32,0.0093,[]
MID_00264,IND_06,509.39,0.0089,"[""AF""]"
MID_00265,IND_13,154.26,0.0133,"[""IR""]"
MID_00266,IND_09,586.51,0.0146,[]
MID_00267,IND_20,225.43,0.0068,"[""SY""]"
MID_00268,IND_14,1.0,0.0049,[]
MID_00269,IND_07,627.83,0.0041,[]
MID_00270,IND_03,460.35,0.0082,[]
MID_00271,IND_19,120.02,0.0091,"[""KP"", ""IQ""]"
MID_00272,IND_13,208.18,0.0067,[]
MID_00273,IND_10,570.01,0.006,"[""CD"", ""IR""]"
MID_00274,IND_06,704.3,0.011,[]
MID_00275,IND_10,499.63,0.0104,"[""IR"", ""VE""]"
MID_00276,IND_01,1139.36,0.0038,[]
MID_00277,IND_15,163.68,0.0105,[]
MID_00278,IND_20,145.25,0.0047,"[""VE""]"
MID_00279,IND_03,856.27,0.0022,[]
MID_00280,IND_08,509.41,0.0056,"[""IQ""]"
MID_00281,IND_06,49.37,0.0123,[]
MID_00282,IND_05,659.63,0.0119,[]
MID_00283,IND_13,72.99,0.0088,[]
MID_00284,IND_17,212.06,0.0067,[]
MID_00285,IND_13,80.13,0.0084,"[""CD"", ""IR""]"
MID_00286,IND_05,290.65,0.0024,[]
MID_00287,IND_20,200.18,0.0135,"[""KP"", ""SY""]"
MID_00288,IND_27,39.76,0.0048,[]
MID_00289,IND_15,109.06,0.0103,[]
MID_00290,IND_16,90.22,0.0023,[]
MID_00291,IND_13,67.54,0.0136,[]
MID_00292,IND_04,112.82,0.0093,[]
MID_00293,IND_10,867.52,0.015,[]
MID_00294,IND_20,99.85,0.0026,"[""RU""]"
MID_00295,IND_05,679.62,0.0061,[]
MID_00296,IND_14,122.21,0.018,"[""CD""]"
MID_00297,IND_04,387.9,0.0079,"[""VE"", ""IQ""]"
MID_00298,IND_02,564.65,0.0056,"[""UA"", ""IQ"", ""IR""]"
MID_00299,IND_05,308.1,0.011,[]
MID_00300,IND_04,574.05,0.0143,"[""UA"", ""IR"", ""CD""]"
MID_00301,IND_09,135.09,0.0063,[]
MID_00302,IND_08,412.12,0.0151,[]
MID_00303,IND_05,706.7,0.0108,[]
MID_00304,IND_05,305.79,0.005,[]
MID_00305,IND_17,199.25,0.0109,[]
MID_00306,IND_08,480.14,0.0094,[]
MID_00307,IND_10,1091.38,0.0183,"[""IR""]"
MID_00308,IND_08,391.96,0.0036,[]
MID_00309,IND_13,106.48,0.0061,[]
MID_00310,IND_17,137.05,0.0084,[]
MID_00311,IND_24,50.13,0.0064,"[""KP""]"
MID_00312,IND_11,219.3,0.0097,[]
MID_00313,IND_24,47.72,0.0119,[]
MID_00314,IND_04,1.0,0.0041,"[""VE"", ""AF""]"
MID_00315,IND_15,213.2,0.0088,[]
MID_00316,IND_26,72.46,0.0016,"[""RU""]"
MID_00317,IND_20,75.46,0.0036,[]
MID_00318,IND_22,55.02,0.0093,"[""IR""]"
MID_00319,IND_18,299.15,0.0166,[]
MID_00320,IND_26,21.1,0.0047,[]
MID_00321,IND_14,192.85,0.0128,[]
MID_00322,IND_05,862.64,0.0045,"[""IQ""]"
MID_00323,IND_14,272.55,0.0163,"[""CD""]"
MID_00324,IND_19,85.36,0.0084,"[""VE"", ""UA"", ""KP""]"
MID_00325,IND_01,186.94,0.0162,[]
MID_00326,IND_02,1342.72,0.0079,"[""RU"", ""KP""]"
MID_00327,IND_23,35.18,0.0036,[]
MID_00328,IND_11,290.05,0.0049,[]
MID_00329,IND_10,104.76,0.0076,[]
MID_00330,IND_09,1013.15,0.0137,"[""SY""]"
MID_00331,IND_10,544.49,0.0059,[]
MID_00332,IND_05,598.96,0.0153,"[""AF""]"
MID_00333,IND_30,43.47,0.0127,"[""RU"", ""IQ"", ""SY""]"
MID_00334,IND_09,960.67,0.0051,[]
MID_00335,IND_17,207.37,0.0059,"[""AF""]"
MID_00336,IND_23,28.29,0.0053,[]
MID_00337,IND_11,108.31,0.0051,[]
MID_00338,IND_07,392.22,0.0103,[]
MID_00339,IND_15,158.88,0.0159,[]
MID_00340,IND_03,737.82,0.0051,[]
MID_00341,IND_20,66.62,0.0046,"[""RU""]"
MID_00342,IND_21,27.95,0.0055,[]
MID_00343,IND_02,632.28,0.018,"[""VE"", ""UA""]"
MID_00344,IND_20,173.51,0.003,[]
MID_00345,IND_17,168.07,0.0137,"[""IR"", ""IQ""]"
MID_00346,IND_11,228.84,0.0065,"[""SY"", ""UA""]"
MID_00347,IND_16,171.74,0.0066,"[""VE"", ""KP""]"
MID_00348,IND_26,31.49,0.0096,[]
MID_00349,IND_27,48.85,0.0191,[]
MID_00350,IND_29,67.4,0.0077,"[""IQ""]"
MID_00351,IND_01,194.12,0.0048,[]
MID_00352,IND_15,303.17,0.0088,[]
MID_00353,IND_19,146.57,0.0034,[]
MID_00354,IND_09,1013.34,0.0066,"[""CD""]"
MID_00355,IND_10,95.37,0.0086,"[""KP"", ""SY""]"
MID_00356,IND_13,85.95,0.0133,[]
MID_00357,IND_02,904.16,0.0143,[]
MID_00358,IND_11,129.45,0.0097,[]
MID_00359,IND_13,102.56,0.0137,[]
MID_00360,IND_03,275.4,0.0032,[]
MID_00361,IND_12,122.51,0.0084,"[""KP""]"
MID_00362,IND_05,931.98,0.0057,[]
MID_00363,IND_18,159.98,0.0049,[]
MID_00364,IND_15,51.85,0.0092,[]
MID_00365,IND_09,737.06,0.0071,[]
MID_00366,IND_18,141.26,0.0198,[]
MID_00367,IND_09,411.73,0.0119,"[""IR""]"
MID_00368,IND_19,186.85,0.0178,"[""IQ"", ""RU"", ""SY""]"
MID_00369,IND_18,8.0,0.0141,"[""CD"", ""SY""]"
MID_00370,IND_06,631.34,0.0179,"[""CD""]"
MID_00371,IND_10,32.06,0.0194,"[""AF"", ""CD"", ""IR""]"
MID_00372,IND_09,149.85,0.0046,[]
MID_00373,IND_12,234.77,0.0031,[]
MID_00374,IND_06,525.08,0.0031,[]
MID_00375,IND_13,225.63,0.0098,[]
MID_00376,IND_08,229.11,0.0074,"[""AF"", ""KP"", ""IR""]"
MID_00377,IND_19,113.93,0.0107,"[""RU"", ""SY""]"
MID_00378,IND_02,545.37,0.0156,[]
MID_00379,IND_01,321.48,0.0044,[]
MID_00380,IND_10,624.38,0.0116,"[""IQ""]"
MID_00381,IND_10,384.15,0.0078,"[""CD"", ""IQ""]"
MID_00382,IND_08,194.39,0.0025,"[""CD"", ""AF""]"
MID_00383,IND_07,164.36,0.0063,[]
MID_00384,IND_07,618.71,0.0038,[]
MID_00385,IND_17,267.46,0.0085,"[""UA"", ""KP""]"
MID_00386,IND_05,328.56,0.0064,"[""IQ""]"
MID_00387,IND_04,1.0,0.0026,[]
MID_00388,IND_15,27.9,0.0056,[]
MID_00389,IND_06,47.08,0.0145,[]
MID_00390,IND_11,198.16,0.0068,[]
MID_00391,IND_05,304.83,0.0136,[]
MID_00392,IND_18,182.29,0.0068,"[""RU""]"
MID_00393,IND_15,303.89,0.0047,[]
MID_00394,IND_18,137.49,0.0099,"[""RU""]"
MID_00395,IND_23,32.41,0.0136,[]
MID_00396,IND_18,235.18,0.0019,[]
MID_00397,IND_13,123.58,0.0136,"[""RU""]"
MID_00398,IND_29,30.23,0.0118,[]
MID_00399,IND_03,1061.14,0.0044,[]
MID_00400,IND_16,272.35,0.0084,"[""KP""]"
MID_00401,IND_24,73.81,0.02,"[""RU"", ""VE""]"
MID_00402,IND_27,25.41,0.008,[]
MID_00403,IND_29,34.05,0.0045,[]
MID_00404,IND_20,11.25,0.0208,"[""CD""]"
MID_00405,IND_27,9.59,0.01,[]
MID_00406,IND_18,116.22,0.0037,"[""AF"", ""CD"", ""IR""]"
MID_00407,IND_28,52.17,0.0045,[]
MID_00408,IND_13,65.61,0.0073,"[""SY"", ""VE""]"
MID_00409,IND_03,1018.94,0.0104,"[""VE"", ""RU""]"
MID_00410,IND_01,75.4,0.0151,[]
MID_00411,IND_14,141.2,0.0026,[]
MID_00412,IND_09,117.36,0.01,"[""IR"", ""RU""]"
MID_00413,IND_02,265.17,0.0054,[]
MID_00414,IND_19,129.54,0.0089,[]
MID_00415,IND_01,1109.12,0.0072,[]
MID_00416,IND_09,565.67,0.0085,"[""IQ"", ""IR""]"
MID_00417,IND_11,199.21,0.0198,"[""UA"", ""RU""]"
MID_00418,IND_14,228.33,0.0113,"[""CD""]"
MID_00419,IND_08,648.18,0.0118,[]
MID_00420,IND_11,127.55,0.0041,"[""VE"", ""UA"", ""KP""]"
MID_00421,IND_12,338.55,0.0143,"[""IR""]"
MID_00422,IND_11,54.53,0.0131,[]
MID_00423,IND_01,408.54,0.0029,"[""AF""]"
MID_00424,IND_02,180.88,0.0124,"[""IQ"", ""UA""]"
MID_00425,IND_10,102.27,0.0024,[]
MID_00426,IND_19,177.87,0.017,[]
MID_00427,IND_08,813.17,0.0161,[]
MID_00428,IND_02,282.96,0.0055,[]
MID_00429,IND_14,218.52,0.0172,"[""AF""]"
MID_00430,IND_04,655.82,0.0034,[]
MID_00431,IND_06,967.77,0.0074,[]
MID_00432,IND_19,158.26,0.0097,[]
MID_00433,IND_06,288.23,0.01,[]
MID_00434,IND_08,979.26,0.0193,[]
MID_00435,IND_20,223.15,0.014,[]
MID_00436,IND_20,73.91,0.0165,[]
MID_00437,IND_19,159.87,0.0064,[]
MID_00438,IND_01,524.75,0.0121,[]
MID_00439,IND_13,227.96,0.0072,[]
MID_00440,IND_15,67.0,0.0041,"[""UA""]"
MID_00441,IND_06,169.55,0.0089,[]
MID_00442,IND_07,272.51,0.0093,"[""SY""]"
MID_00443,IND_26,54.07,0.0215,[]
MID_00444,IND_07,577.92,0.0044,"[""SY"", ""AF"", ""VE""]"
MID_00445,IND_02,606.38,0.0184,"[""RU"", ""IQ""]"
MID_00446,IND_13,174.95,0.0172,[]
MID_00447,IND_07,98.95,0.0182,[]
MID_00448,IND_09,136.19,0.0098,[]
MID_00449,IND_16,120.15,0.0225,"[""VE""]"
MID_00450,IND_20,97.61,0.0161,"[""VE"", ""UA""]"
MID_00451,IND_07,1.0,0.0128,"[""RU""]"
MID_00452,IND_13,99.82,0.0132,[]
MID_00453,IND_22,18.32,0.0037,[]
MID_00454,IND_11,216.12,0.0046,[]
MID_00455,IND_16,188.74,0.0197,"[""AF""]"
MID_00456,IND_19,144.87,0.0073,"[""IR""]"
MID_00457,IND_06,535.17,0.0119,[]
MID_00458,IND_08,338.49,0.0104,"[""IR"", ""IQ""]"
MID_00459,IND_11,238.11,0.0086,[]
MID_00460,IND_02,7.49,0.0075,[]
MID_00461,IND_20,108.02,0.0056,[]
MID_00462,IND_01,179.39,0.0109,"[""SY"", ""IQ"", ""IR""]"
MID_00463,IND_15,1.0,0.0024,[]
MID_00464,IND_08,450.46,0.0119,"[""VE""]"
MID_00465,IND_15,43.62,0.0086,"[""IQ"", ""AF""]"
MID_00466,IND_16,119.32,0.0035,[]
MID_00467,IND_03,540.88,0.0076,"[""KP""]"
MID_00468,IND_06,286.06,0.0064,[]
MID_00469,IND_01,1337.53,0.0122,[]
MID_00470,IND_16,268.96,0.0184,[]
MID_00471,IND_04,289.14,0.007,[]
MID_00472,IND_06,464.74,0.0087,[]
MID_00473,IND_12,147.13,0.0153,"[""CD"", ""IR""]"
MID_00474,IND_10,484.99,0.0025,[]
MID_00475,IND_12,135.55,0.0053,"[""IR"", ""VE""]"
MID_00476,IND_02,429.11,0.0051,"[""AF""]"
MID_00477,IND_09,723.77,0.0106,[]
MID_00478,IND_05,458.74,0.0122,[]
MID_00479,IND_01,568.48,0.0151,[]
MID_00480,IND_09,113.0,0.0207,"[""IR""]"
MID_00481,IND_04,646.02,0.0017,[]
MID_00482,IND_11,291.3,0.0022,"[""VE"", ""AF""]"
MID_00483,IND_09,572.11,0.0107,"[""RU"", ""IR""]"
MID_00484,IND_10,422.71,0.0088,"[""UA""]"
MID_00485,IND_14,90.61,0.0078,[]
MID_00486,IND_11,72.02,0.0084,"[""KP"", ""IQ""]"
MID_00487,IND_16,87.94,0.0112,[]
MID_00488,IND_13,143.81,0.0065,"[""RU"", ""AF""]"
MID_00489,IND_24,47.18,0.0135,"[""SY""]"
MID_00490,IND_07,377.19,0.0064,"[""CD"", ""KP""]"
MID_00491,IND_03,543.4,0.0099,[]
MID_00492,IND_06,598.91,0.0174,[]
MID_00493,IND_04,408.81,0.0081,"[""VE"", ""AF""]"
MID_00494,IND_19,1.0,0.0128,"[""IR""]"
MID_00495,IND_28,18.78,0.0095,"[""RU"", ""VE""]"
MID_00496,IND_28,57.05,0.0026,"[""SY"", ""IR"", ""IQ""]"
MID_00497,IND_10,834.72,0.015,"[""VE""]"
MID_00498,IND_19,362.89,0.0118,[]
MID_00499,IND_08,268.61,0.0083,[]
MID_00500,IND_08,488.2,0.0046,[]
MID_00501,IND_01,222.06,0.0038,[]
MID_00502,IND_15,156.31,0.0024,[]
MID_00503,IND_03,527.8,0.0088,[]
MID_00504,IND_07,792.93,0.0125,"[""AF""]"
MID_00505,IND_01,553.43,0.008,[]
MID_00506,IND_15,204.52,0.0157,"[""IR"", ""KP"", ""RU""]"
MID_00507,IND_07,382.25,0.0061,"[""KP"", ""AF""]"
MID_00508,IND_15,159.13,0.0139,[]
MID_00509,IND_04,916.09,0.0066,"[""CD""]"
MID_00510,IND_05,1.0,0.0051,[]
MID_00511,IND_05,197.23,0.0109,[]
MID_00512,IND_02,511.35,0.0042,[]
MID_00513,IND_06,985.03,0.0135,"[""CD""]"
MID_00514,IND_12,66.8,0.0133,"[""AF""]"
MID_00515,IND_10,233.01,0.0018,[]
MID_00516,IND_09,381.72,0.0034,[]
MID_00517,IND_04,605.22,0.0073,[]
MID_00518,IND_11,168.71,0.0031,"[""AF"", ""RU"", ""UA""]"
MID_00519,IND_12,242.8,0.0033,"[""AF""]"
MID_00520,IND_09,1.0,0.0047,[]
