Date_Hour,Metric,Transaction_Volume,Total_Amount,Fraud_Count
2025-07-27 20:00:00,DEBIT,317,144326.08,1
2025-07-27 20:00:00,P2P_TRANSFER,298,130589.74,0
2025-07-27 21:00:00,CREDIT,223,160466.21,0
2025-07-27 21:00:00,DEBIT,283,197742.98,0
2025-07-27 21:00:00,P2P_TRANSFER,164,70958.05,0
2025-07-27 22:00:00,CREDIT,147,116873.42,0
2025-07-27 22:00:00,DEBIT,199,157602.54,0
2025-07-27 22:00:00,P2P_TRANSFER,317,127464.61,1
2025-07-27 23:00:00,CREDIT,236,149200.12,2
2025-07-27 23:00:00,DEBIT,381,242535.84,1
2025-07-27 23:00:00,P2P_TRANSFER,217,146918.68,1
2025-07-28 00:00:00,CREDIT,219,207360.14,1
2025-07-28 00:00:00,DEBIT,291,249090.23,0
2025-07-28 00:00:00,P2P_TRANSFER,250,189816.42,0
2025-07-28 01:00:00,CREDIT,232,156896.87,0
2025-07-28 01:00:00,DEBIT,406,361743.47,1
2025-07-28 01:00:00,P2P_TRANSFER,381,349052.81,2
2025-07-28 02:00:00,CREDIT,189,81361.4,1
2025-07-28 02:00:00,DEBIT,402,284110.62,1
2025-07-28 02:00:00,P2P_TRANSFER,306,329286.4,2
2025-07-28 03:00:00,CREDIT,398,275358.79,1
2025-07-28 03:00:00,DEBIT,352,160754.42,1
2025-07-28 03:00:00,P2P_TRANSFER,240,161798.32,1
2025-07-28 04:00:00,CREDIT,256,221141.59,1
2025-07-28 04:00:00,DEBIT,300,127725.17,0
2025-07-28 04:00:00,P2P_TRANSFER,265,165505.8,1
2025-07-28 05:00:00,CREDIT,311,133809.24,0
2025-07-28 05:00:00,DEBIT,229,155430.97,0
2025-07-28 05:00:00,P2P_TRANSFER,230,196368.19,0
2025-07-28 06:00:00,CREDIT,276,141560.69,1
2025-07-28 06:00:00,DEBIT,195,73085.72,0
2025-07-28 06:00:00,P2P_TRANSFER,225,99126.58,0
2025-07-28 07:00:00,CREDIT,175,113429.06,1
2025-07-28 07:00:00,DEBIT,223,56367.23,0
2025-07-28 07:00:00,P2P_TRANSFER,240,131878.76,1
2025-07-28 08:00:00,CREDIT,186,104998.08,1
2025-07-28 08:00:00,DEBIT,309,176831.41,1
2025-07-28 08:00:00,P2P_TRANSFER,331,246415.49,1
2025-07-28 09:00:00,CREDIT,381,127019.3,1
2025-07-28 09:00:00,DEBIT,483,279998.6,1
2025-07-28 09:00:00,P2P_TRANSFER,376,199934.95,1
2025-07-28 10:00:00,CREDIT,411,291811.51,0
2025-07-28 10:00:00,DEBIT,383,234255.2,2
2025-07-28 10:00:00,P2P_TRANSFER,234,85414.04,0
2025-07-28 11:00:00,CREDIT,375,60326.84,0
2025-07-28 11:00:00,DEBIT,400,355007.64,1
2025-07-28 11:00:00,P2P_TRANSFER,454,200492.06,2
2025-07-28 12:00:00,CREDIT,392,245808.35,1
2025-07-28 12:00:00,DEBIT,173,129507.41,1
2025-07-28 12:00:00,P2P_TRANSFER,151,98323.9,0
2025-07-28 13:00:00,CREDIT,94,62545.42,0
2025-07-28 13:00:00,DEBIT,233,132409.37,0
2025-07-28 13:00:00,P2P_TRANSFER,297,168489.23,1
2025-07-28 14:00:00,CREDIT,174,83608.98,0
2025-07-28 14:00:00,DEBIT,200,111197.08,0
2025-07-28 14:00:00,P2P_TRANSFER,172,65451.07,0
2025-07-28 15:00:00,CREDIT,230,206903.38,0
2025-07-28 15:00:00,DEBIT,267,169717.54,1
2025-07-28 15:00:00,P2P_TRANSFER,412,160584.26,1
2025-07-28 16:00:00,CREDIT,318,161140.52,1
2025-07-28 16:00:00,DEBIT,85,52425.35,0
2025-07-28 16:00:00,P2P_TRANSFER,79,34901.23,0
2025-07-28 17:00:00,CREDIT,339,286137.32,0
2025-07-28 17:00:00,DEBIT,330,223417.87,1
2025-07-28 17:00:00,P2P_TRANSFER,360,142682.28,1
2025-07-28 18:00:00,CREDIT,322,208701.08,0
2025-07-28 18:00:00,DEBIT,391,218311.31,1
2025-07-28 18:00:00,P2P_TRANSFER,480,209726.62,1
2025-07-28 19:00:00,CREDIT,437,370996.06,1
2025-07-28 19:00:00,DEBIT,504,193728.88,1
2025-07-28 19:00:00,P2P_TRANSFER,503,132429.04,1
2025-07-28 20:00:00,CREDIT,399,336944.53,1
2025-07-28 20:00:00,DEBIT,285,114404.74,0
2025-07-28 20:00:00,P2P_TRANSFER,307,187759.6,2
2025-07-28 21:00:00,CREDIT,263,118015.28,1
2025-07-28 21:00:00,DEBIT,198,166026.42,1
2025-07-28 21:00:00,P2P_TRANSFER,186,73651.9,1
2025-07-28 22:00:00,CREDIT,192,80739.92,0
2025-07-28 22:00:00,DEBIT,221,175321.6,1
2025-07-28 22:00:00,P2P_TRANSFER,214,164722.21,1
2025-07-28 23:00:00,CREDIT,227,173357.99,1
2025-07-28 23:00:00,DEBIT,301,182850.91,1
2025-07-28 23:00:00,P2P_TRANSFER,214,49457.56,1
2025-07-29 00:00:00,CREDIT,305,191264.99,1
2025-07-29 00:00:00,DEBIT,330,263375.96,2
2025-07-29 00:00:00,P2P_TRANSFER,154,84894.91,1
2025-07-29 01:00:00,CREDIT,338,122199.07,1
2025-07-29 01:00:00,DEBIT,338,274428.44,1
2025-07-29 01:00:00,P2P_TRANSFER,291,170755.4,1
2025-07-29 02:00:00,CREDIT,515,411123.44,2
2025-07-29 02:00:00,DEBIT,214,143723.96,0
2025-07-29 02:00:00,P2P_TRANSFER,362,329158.02,1
2025-07-29 03:00:00,CREDIT,292,95057.39,0
2025-07-29 03:00:00,DEBIT,225,118293.53,0
2025-07-29 03:00:00,P2P_TRANSFER,405,187563.13,1
2025-07-29 04:00:00,CREDIT,112,72075.84,0
2025-07-29 04:00:00,DEBIT,371,112289.28,1
2025-07-29 04:00:00,P2P_TRANSFER,240,186147.73,0
2025-07-29 05:00:00,CREDIT,307,124699.6,1
2025-07-29 05:00:00,DEBIT,153,50276.22,0
2025-07-29 05:00:00,P2P_TRANSFER,245,178861.92,1
2025-07-29 06:00:00,CREDIT,231,171295.86,0
2025-07-29 06:00:00,DEBIT,173,104911.88,0
2025-07-29 06:00:00,P2P_TRANSFER,248,211977.3,1
2025-07-29 07:00:00,CREDIT,176,130092.0,0
2025-07-29 07:00:00,DEBIT,272,144543.2,1
2025-07-29 07:00:00,P2P_TRANSFER,273,255370.43,1
2025-07-29 08:00:00,CREDIT,102,65333.9,0
2025-07-29 08:00:00,DEBIT,298,170962.42,1
2025-07-29 08:00:00,P2P_TRANSFER,382,184508.27,0
2025-07-29 09:00:00,CREDIT,296,301078.85,0
2025-07-29 09:00:00,DEBIT,452,325020.88,1
2025-07-29 09:00:00,P2P_TRANSFER,403,214539.85,1
2025-07-29 10:00:00,CREDIT,224,65123.04,0
2025-07-29 10:00:00,DEBIT,456,182641.85,1
2025-07-29 10:00:00,P2P_TRANSFER,225,140459.0,0
2025-07-29 11:00:00,CREDIT,453,205631.78,0
2025-07-29 11:00:00,DEBIT,199,51970.91,0
2025-07-29 11:00:00,P2P_TRANSFER,319,182400.06,1
2025-07-29 12:00:00,CREDIT,156,32454.2,0
2025-07-29 12:00:00,DEBIT,261,190509.73,1
2025-07-29 12:00:00,P2P_TRANSFER,159,68408.82,0
2025-07-29 13:00:00,CREDIT,133,91303.03,0
2025-07-29 13:00:00,DEBIT,310,226289.29,1
2025-07-29 13:00:00,P2P_TRANSFER,273,114769.93,0
2025-07-29 14:00:00,CREDIT,267,161354.45,0
2025-07-29 14:00:00,DEBIT,253,235486.67,1
2025-07-29 14:00:00,P2P_TRANSFER,227,106461.44,0
2025-07-29 15:00:00,CREDIT,319,227593.14,1
2025-07-29 15:00:00,DEBIT,302,220219.16,1
2025-07-29 15:00:00,P2P_TRANSFER,213,122482.0,1
2025-07-29 16:00:00,CREDIT,212,130314.05,0
2025-07-29 16:00:00,DEBIT,166,109732.37,1
2025-07-29 16:00:00,P2P_TRANSFER,134,12000.0,0
2025-07-29 17:00:00,CREDIT,220,110330.58,0
2025-07-29 17:00:00,DEBIT,515,350895.14,2
2025-07-29 17:00:00,P2P_TRANSFER,509,357507.97,2
2025-07-29 18:00:00,CREDIT,246,78878.86,0
2025-07-29 18:00:00,DEBIT,424,199149.88,1
2025-07-29 18:00:00,P2P_TRANSFER,298,219994.74,1
2025-07-29 19:00:00,CREDIT,343,51437.71,0
2025-07-29 19:00:00,DEBIT,298,98507.11,0
2025-07-29 19:00:00,P2P_TRANSFER,388,207718.61,1
2025-07-29 20:00:00,CREDIT,309,100151.28,1
2025-07-29 20:00:00,DEBIT,234,151085.11,0
2025-07-29 20:00:00,P2P_TRANSFER,379,97624.13,0
2025-07-29 21:00:00,CREDIT,250,184221.59,0
2025-07-29 21:00:00,DEBIT,238,196736.59,1
2025-07-29 21:00:00,P2P_TRANSFER,279,143035.16,1
2025-07-29 22:00:00,CREDIT,221,110554.91,1
2025-07-29 22:00:00,DEBIT,142,78434.48,0
2025-07-29 22:00:00,P2P_TRANSFER,217,132524.77,0
2025-07-29 23:00:00,CREDIT,319,141039.06,1
2025-07-29 23:00:00,DEBIT,191,144348.82,0
2025-07-29 23:00:00,P2P_TRANSFER,320,147870.25,1
2025-07-30 00:00:00,CREDIT,115,70652.92,1
2025-07-30 00:00:00,DEBIT,409,232304.72,1
2025-07-30 00:00:00,P2P_TRANSFER,400,94657.28,1
2025-07-30 01:00:00,CREDIT,448,211843.18,1
2025-07-30 01:00:00,DEBIT,194,109234.68,1
2025-07-30 01:00:00,P2P_TRANSFER,350,205766.15,1
2025-07-30 02:00:00,CREDIT,491,180780.08,1
2025-07-30 02:00:00,DEBIT,245,120473.28,0
2025-07-30 02:00:00,P2P_TRANSFER,430,196196.03,1
2025-07-30 03:00:00,CREDIT,437,276114.9,1
2025-07-30 03:00:00,DEBIT,286,160645.54,0
2025-07-30 03:00:00,P2P_TRANSFER,404,297956.98,1
2025-07-30 04:00:00,CREDIT,227,157322.23,0
2025-07-30 04:00:00,DEBIT,317,155582.22,1
2025-07-30 04:00:00,P2P_TRANSFER,80,39781.81,1
2025-07-30 05:00:00,CREDIT,176,62899.8,0
2025-07-30 05:00:00,DEBIT,215,166778.9,1
2025-07-30 05:00:00,P2P_TRANSFER,263,175144.02,1
2025-07-30 06:00:00,CREDIT,229,143061.82,0
2025-07-30 06:00:00,DEBIT,219,38773.57,0
2025-07-30 06:00:00,P2P_TRANSFER,201,199024.74,0
2025-07-30 07:00:00,CREDIT,161,56949.38,0
2025-07-30 07:00:00,DEBIT,221,109438.52,0
2025-07-30 07:00:00,P2P_TRANSFER,259,181412.98,1
2025-07-30 08:00:00,CREDIT,307,193351.44,2
2025-07-30 08:00:00,DEBIT,415,261758.52,1
2025-07-30 08:00:00,P2P_TRANSFER,349,292065.79,1
2025-07-30 09:00:00,CREDIT,400,318379.8,1
2025-07-30 09:00:00,DEBIT,449,284538.74,2
2025-07-30 09:00:00,P2P_TRANSFER,348,205627.55,1
2025-07-30 10:00:00,CREDIT,476,196899.5,2
2025-07-30 10:00:00,DEBIT,317,229017.7,1
2025-07-30 10:00:00,P2P_TRANSFER,457,250577.93,0
2025-07-30 11:00:00,CREDIT,629,417128.38,2
2025-07-30 11:00:00,DEBIT,330,204376.48,1
2025-07-30 11:00:00,P2P_TRANSFER,275,38401.84,0
2025-07-30 12:00:00,CREDIT,447,177964.4,0
2025-07-30 12:00:00,DEBIT,230,121091.84,1
2025-07-30 12:00:00,P2P_TRANSFER,143,151589.9,1
2025-07-30 13:00:00,CREDIT,143,85673.69,1
2025-07-30 13:00:00,DEBIT,228,70934.38,0
2025-07-30 13:00:00,P2P_TRANSFER,360,228102.79,0
2025-07-30 14:00:00,CREDIT,331,254759.27,1
2025-07-30 14:00:00,DEBIT,212,122362.52,1
2025-07-30 14:00:00,P2P_TRANSFER,111,12000.0,0
2025-07-30 15:00:00,CREDIT,181,42994.33,1
2025-07-30 15:00:00,DEBIT,342,275437.42,1
2025-07-30 15:00:00,P2P_TRANSFER,369,198303.84,0
2025-07-30 16:00:00,CREDIT,261,134120.04,1
2025-07-30 16:00:00,DEBIT,117,68902.99,0
2025-07-30 16:00:00,P2P_TRANSFER,296,213138.98,0
2025-07-30 17:00:00,CREDIT,315,177558.22,0
2025-07-30 17:00:00,DEBIT,315,216863.82,0
2025-07-30 17:00:00,P2P_TRANSFER,414,242407.48,1
2025-07-30 18:00:00,CREDIT,478,349046.45,2
2025-07-30 18:00:00,DEBIT,439,325644.08,2
2025-07-30 18:00:00,P2P_TRANSFER,238,112094.41,0
2025-07-30 19:00:00,CREDIT,413,205256.68,0
2025-07-30 19:00:00,DEBIT,315,197653.28,2
2025-07-30 19:00:00,P2P_TRANSFER,375,282696.64,1
2025-07-30 20:00:00,CREDIT,321,117603.46,1
2025-07-30 20:00:00,DEBIT,296,219144.05,0
2025-07-30 20:00:00,P2P_TRANSFER,211,106020.5,0
2025-07-30 21:00:00,CREDIT,364,287264.7,1
2025-07-30 21:00:00,DEBIT,206,87025.99,0
2025-07-30 21:00:00,P2P_TRANSFER,199,104603.18,0
2025-07-30 22:00:00,CREDIT,312,173957.45,1
2025-07-30 22:00:00,DEBIT,293,164265.77,0
2025-07-30 22:00:00,P2P_TRANSFER,230,98029.87,0
2025-07-30 23:00:00,CREDIT,142,121941.05,0
2025-07-30 23:00:00,DEBIT,306,104396.18,0
2025-07-30 23:00:00,P2P_TRANSFER,307,230370.12,0
2025-07-31 00:00:00,CREDIT,480,297205.8,1
2025-07-31 00:00:00,DEBIT,261,242884.57,0
2025-07-31 00:00:00,P2P_TRANSFER,346,298578.19,1
2025-07-31 01:00:00,CREDIT,133,101540.78,1
2025-07-31 01:00:00,DEBIT,279,158846.46,1
2025-07-31 01:00:00,P2P_TRANSFER,223,169919.95,0
2025-07-31 02:00:00,CREDIT,320,244163.36,1
2025-07-31 02:00:00,DEBIT,378,300621.01,0
2025-07-31 02:00:00,P2P_TRANSFER,405,297741.19,2
2025-07-31 03:00:00,CREDIT,283,137768.6,0
2025-07-31 03:00:00,DEBIT,228,126318.4,0
2025-07-31 03:00:00,P2P_TRANSFER,243,139435.27,0
2025-07-31 04:00:00,CREDIT,367,122753.34,1
2025-07-31 04:00:00,DEBIT,399,264654.47,1
2025-07-31 04:00:00,P2P_TRANSFER,263,233298.94,2
2025-07-31 05:00:00,CREDIT,277,138716.09,2
2025-07-31 05:00:00,DEBIT,199,144703.91,0
2025-07-31 05:00:00,P2P_TRANSFER,222,189608.92,0
2025-07-31 06:00:00,CREDIT,231,35715.11,0
2025-07-31 06:00:00,DEBIT,132,83713.25,0
2025-07-31 06:00:00,P2P_TRANSFER,288,164067.44,1
2025-07-31 07:00:00,CREDIT,237,66959.7,1
2025-07-31 07:00:00,DEBIT,282,143065.79,0
2025-07-31 07:00:00,P2P_TRANSFER,398,163920.98,0
2025-07-31 08:00:00,CREDIT,285,166012.01,0
2025-07-31 08:00:00,DEBIT,173,63173.17,0
2025-07-31 08:00:00,P2P_TRANSFER,462,270364.92,1
2025-07-31 09:00:00,CREDIT,349,260240.58,1
2025-07-31 09:00:00,DEBIT,231,105091.51,0
2025-07-31 09:00:00,P2P_TRANSFER,347,176515.66,1
2025-07-31 10:00:00,CREDIT,453,234600.78,1
2025-07-31 10:00:00,DEBIT,289,194007.72,0
2025-07-31 10:00:00,P2P_TRANSFER,568,317884.32,1
2025-07-31 11:00:00,CREDIT,370,123676.46,1
2025-07-31 11:00:00,DEBIT,220,104447.63,0
2025-07-31 11:00:00,P2P_TRANSFER,266,169632.56,1
2025-07-31 12:00:00,CREDIT,244,128443.84,1
2025-07-31 12:00:00,DEBIT,88,36368.77,0
2025-07-31 12:00:00,P2P_TRANSFER,231,212242.94,1
2025-07-31 13:00:00,CREDIT,215,99492.38,0
2025-07-31 13:00:00,DEBIT,237,128283.16,1
2025-07-31 13:00:00,P2P_TRANSFER,53,30058.55,0
2025-07-31 14:00:00,CREDIT,151,87304.66,0
2025-07-31 14:00:00,DEBIT,302,356692.74,2
2025-07-31 14:00:00,P2P_TRANSFER,288,218591.59,1
2025-07-31 15:00:00,CREDIT,342,248292.56,1
2025-07-31 15:00:00,DEBIT,254,195019.82,0
2025-07-31 15:00:00,P2P_TRANSFER,267,138843.43,1
2025-07-31 16:00:00,CREDIT,338,325541.48,1
2025-07-31 16:00:00,DEBIT,278,207296.81,1
2025-07-31 16:00:00,P2P_TRANSFER,320,204883.97,1
2025-07-31 17:00:00,CREDIT,344,272227.4,1
2025-07-31 17:00:00,DEBIT,467,257501.57,1
2025-07-31 17:00:00,P2P_TRANSFER,460,193248.85,1
2025-07-31 18:00:00,CREDIT,443,294471.1,1
2025-07-31 18:00:00,DEBIT,387,379141.14,1
2025-07-31 18:00:00,P2P_TRANSFER,240,144013.02,1
2025-07-31 19:00:00,CREDIT,359,226880.57,2
2025-07-31 19:00:00,DEBIT,185,83454.59,0
2025-07-31 19:00:00,P2P_TRANSFER,183,148655.09,1
2025-07-31 20:00:00,CREDIT,339,115219.07,1
2025-07-31 20:00:00,DEBIT,222,22293.47,0
2025-07-31 20:00:00,P2P_TRANSFER,326,173449.61,1
2025-07-31 21:00:00,CREDIT,383,204553.08,0
2025-07-31 21:00:00,DEBIT,225,166091.56,1
2025-07-31 21:00:00,P2P_TRANSFER,90,46977.66,0
2025-07-31 22:00:00,CREDIT,275,281690.47,2
2025-07-31 22:00:00,DEBIT,243,185678.62,0
2025-07-31 22:00:00,P2P_TRANSFER,343,196741.2,1
2025-07-31 23:00:00,CREDIT,267,255265.26,0
2025-07-31 23:00:00,DEBIT,254,218735.53,1
2025-07-31 23:00:00,P2P_TRANSFER,181,62102.52,0
2025-08-01 00:00:00,CREDIT,223,152021.77,1
2025-08-01 00:00:00,DEBIT,367,174395.1,2
2025-08-01 00:00:00,P2P_TRANSFER,298,187346.12,1
2025-08-01 01:00:00,CREDIT,225,163498.27,0
2025-08-01 01:00:00,DEBIT,225,62440.76,1
2025-08-01 01:00:00,P2P_TRANSFER,378,213094.79,0
2025-08-01 02:00:00,CREDIT,224,173885.28,1
2025-08-01 02:00:00,DEBIT,238,115647.19,1
2025-08-01 02:00:00,P2P_TRANSFER,181,37125.55,0
2025-08-01 03:00:00,CREDIT,403,340721.89,1
2025-08-01 03:00:00,DEBIT,523,378672.05,1
2025-08-01 03:00:00,P2P_TRANSFER,379,280308.65,1
2025-08-01 04:00:00,CREDIT,298,179867.17,1
2025-08-01 04:00:00,DEBIT,371,134223.05,1
2025-08-01 04:00:00,P2P_TRANSFER,348,193898.52,0
2025-08-01 05:00:00,CREDIT,141,118443.05,0
2025-08-01 05:00:00,DEBIT,113,84631.08,0
2025-08-01 05:00:00,P2P_TRANSFER,138,84783.22,1
2025-08-01 06:00:00,CREDIT,269,129405.48,0
2025-08-01 06:00:00,DEBIT,222,90464.06,1
2025-08-01 06:00:00,P2P_TRANSFER,171,50748.1,1
2025-08-01 07:00:00,CREDIT,288,199762.14,1
2025-08-01 07:00:00,DEBIT,354,111624.76,1
2025-08-01 07:00:00,P2P_TRANSFER,283,179299.61,1
2025-08-01 08:00:00,CREDIT,197,91119.38,0
2025-08-01 08:00:00,DEBIT,360,165580.96,0
2025-08-01 08:00:00,P2P_TRANSFER,367,149214.61,1
2025-08-01 09:00:00,CREDIT,291,99775.54,0
2025-08-01 09:00:00,DEBIT,408,232268.65,1
2025-08-01 09:00:00,P2P_TRANSFER,471,351035.03,1
2025-08-01 10:00:00,CREDIT,473,415423.99,2
2025-08-01 10:00:00,DEBIT,239,75458.5,0
2025-08-01 10:00:00,P2P_TRANSFER,379,196443.41,0
2025-08-01 11:00:00,CREDIT,331,237006.02,1
2025-08-01 11:00:00,DEBIT,344,165865.97,1
2025-08-01 11:00:00,P2P_TRANSFER,444,280771.84,1
2025-08-01 12:00:00,CREDIT,389,238896.22,1
2025-08-01 12:00:00,DEBIT,410,305542.42,1
2025-08-01 12:00:00,P2P_TRANSFER,266,125735.22,0
2025-08-01 13:00:00,CREDIT,213,122517.8,0
2025-08-01 13:00:00,DEBIT,142,53252.22,0
2025-08-01 13:00:00,P2P_TRANSFER,120,106070.06,0
2025-08-01 14:00:00,CREDIT,278,153818.69,1
2025-08-01 14:00:00,DEBIT,164,109415.99,0
2025-08-01 14:00:00,P2P_TRANSFER,229,111076.93,0
2025-08-01 15:00:00,CREDIT,339,160595.47,0
2025-08-01 15:00:00,DEBIT,222,96633.94,0
2025-08-01 15:00:00,P2P_TRANSFER,183,119409.3,0
2025-08-01 16:00:00,CREDIT,335,128527.32,1
2025-08-01 16:00:00,DEBIT,194,99784.92,1
2025-08-01 16:00:00,P2P_TRANSFER,357,242028.42,1
2025-08-01 17:00:00,CREDIT,428,402176.22,3
2025-08-01 17:00:00,DEBIT,300,170286.0,1
2025-08-01 17:00:00,P2P_TRANSFER,220,99383.58,0
2025-08-01 18:00:00,CREDIT,308,281818.08,1
2025-08-01 18:00:00,DEBIT,399,335532.64,2
2025-08-01 18:00:00,P2P_TRANSFER,401,269175.82,1
2025-08-01 19:00:00,CREDIT,469,273804.04,1
2025-08-01 19:00:00,DEBIT,239,137680.03,1
2025-08-01 19:00:00,P2P_TRANSFER,484,194646.52,0
2025-08-01 20:00:00,CREDIT,415,381909.54,2
2025-08-01 20:00:00,DEBIT,245,184719.66,1
2025-08-01 20:00:00,P2P_TRANSFER,333,150544.8,1
2025-08-01 21:00:00,CREDIT,408,272192.81,1
2025-08-01 21:00:00,DEBIT,220,206866.86,1
2025-08-01 21:00:00,P2P_TRANSFER,209,107907.96,1
2025-08-01 22:00:00,CREDIT,291,88954.54,1
2025-08-01 22:00:00,DEBIT,309,124022.12,1
2025-08-01 22:00:00,P2P_TRANSFER,242,79719.8,0
2025-08-01 23:00:00,CREDIT,166,52130.69,0
2025-08-01 23:00:00,DEBIT,206,50157.17,0
2025-08-01 23:00:00,P2P_TRANSFER,179,119071.31,0
2025-08-02 00:00:00,CREDIT,282,67718.51,0
2025-08-02 00:00:00,DEBIT,351,164567.16,1
2025-08-02 00:00:00,P2P_TRANSFER,397,257273.05,1
2025-08-02 01:00:00,CREDIT,344,96478.8,0
2025-08-02 01:00:00,DEBIT,275,209638.99,1
2025-08-02 01:00:00,P2P_TRANSFER,624,412773.43,1
2025-08-02 02:00:00,CREDIT,572,344734.12,1
2025-08-02 02:00:00,DEBIT,477,356894.11,1
2025-08-02 02:00:00,P2P_TRANSFER,474,228642.02,1
2025-08-02 03:00:00,CREDIT,232,72965.58,0
2025-08-02 03:00:00,DEBIT,444,136555.72,1
2025-08-02 03:00:00,P2P_TRANSFER,274,108462.76,0
2025-08-02 04:00:00,CREDIT,251,225969.68,1
