CaseID,TransactionID,AnalystID,Case_Status,Resolution_Code,Open_Timestamp,AnalystNotes
CS_000041,TID_000041,ANL_023,OPEN,N/A,2025-09-27 09:32:46,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000042,TID_000042,ANL_016,CLOSED,FN_NOT_FRAUD,2025-08-28 04:43:07,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000043,TID_000043,ANL_025,OPEN,N/A,2025-09-30 00:13:20,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000044,TID_000044,ANL_006,CLOSED,FN_NOT_FRAUD,2025-09-24 15:59:26,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000045,TID_000045,ANL_010,CLOSED,FN_FRAUD,2025-09-18 04:15:48,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000046,TID_000046,ANL_028,PENDING_REVIEW,N/A,2025-07-29 01:35:03,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000047,TID_000047,ANL_006,PENDING_REVIEW,N/A,2025-08-01 13:24:20,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000048,TID_000048,ANL_014,CLOSED,FN_NOT_FRAUD,2025-09-05 14:04:25,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000049,TID_000049,ANL_008,OPEN,N/A,2025-07-29 11:55:33,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000050,TID_000050,ANL_007,CLOSED,FN_NOT_FRAUD,2025-10-08 23:47:19,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000051,TID_000051,ANL_003,CLOSED,FN_NOT_FRAUD,2025-09-22 07:28:50,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000052,TID_000052,ANL_024,CLOSED,FN_NOT_FRAUD,2025-09-22 06:50:54,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000053,TID_000053,ANL_026,CLOSED,W_CLOSED,2025-10-18 14:48:35,"{""Summary"": ""Case closed due to inactivity.""}"
CS_000054,TID_000054,ANL_010,CLOSED,FN_NOT_FRAUD,2025-07-28 20:47:14,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000055,TID_000055,ANL_050,CLOSED,FN_FRAUD,2025-09-14 10:37:58,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000056,TID_000056,ANL_008,CLOSED,W_CLOSED,2025-09-07 13:03:11,"{""Summary"": ""Case closed due to inactivity.""}"
CS_000057,TID_000057,ANL_002,CLOSED,FN_NOT_FRAUD,2025-09-27 08:46:28,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000058,TID_000058,ANL_008,CLOSED,FN_NOT_FRAUD,2025-08-06 06:07:53,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000059,TID_000059,ANL_010,CLOSED,FN_NOT_FRAUD,2025-09-11 18:09:10,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000060,TID_000060,ANL_016,PENDING_REVIEW,N/A,2025-10-21 20:47:38,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000061,TID_000061,ANL_041,CLOSED,INSUFFICIENT_DATA,2025-10-01 05:33:20,"{""Summary"": ""Case closed due to inactivity.""}"
CS_000062,TID_000062,ANL_046,OPEN,N/A,2025-10-23 07:52:46,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000063,TID_000063,ANL_010,CLOSED,FN_NOT_FRAUD,2025-08-06 15:53:32,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000064,TID_000064,ANL_008,CLOSED,FN_NOT_FRAUD,2025-09-02 05:19:40,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000065,TID_000065,ANL_005,PENDING_REVIEW,N/A,2025-08-18 08:58:16,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000066,TID_000066,ANL_006,CLOSED,FN_NOT_FRAUD,2025-08-09 13:08:59,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000067,TID_000067,ANL_028,PENDING_REVIEW,N/A,2025-09-25 19:16:04,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000068,TID_000068,ANL_004,OPEN,N/A,2025-09-05 06:46:09,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000069,TID_000069,ANL_004,OPEN,N/A,2025-08-20 14:29:49,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000070,TID_000070,ANL_004,OPEN,N/A,2025-08-20 19:23:41,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000071,TID_000071,ANL_004,OPEN,N/A,2025-10-17 17:11:27,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000072,TID_000072,ANL_005,CLOSED,FN_NOT_FRAUD,2025-10-03 07:56:41,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000073,TID_000073,ANL_004,PENDING_REVIEW,N/A,2025-10-13 15:16:03,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000074,TID_000074,ANL_001,PENDING_REVIEW,N/A,2025-09-29 17:10:29,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000075,TID_000075,ANL_042,PENDING_REVIEW,N/A,2025-07-31 07:18:26,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000076,TID_000076,ANL_016,CLOSED,FN_NOT_FRAUD,2025-09-20 17:51:20,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000077,TID_000077,ANL_005,CLOSED,FN_NOT_FRAUD,2025-08-03 16:46:35,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000078,TID_000078,ANL_041,CLOSED,FN_NOT_FRAUD,2025-09-21 09:26:11,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000079,TID_000079,ANL_001,CLOSED,FN_NOT_FRAUD,2025-10-01 21:49:07,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000080,TID_000080,ANL_003,CLOSED,FN_NOT_FRAUD,2025-08-16 03:14:11,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000081,TID_000081,ANL_012,PENDING_REVIEW,N/A,2025-09-20 17:34:50,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000082,TID_000082,ANL_007,PENDING_REVIEW,N/A,2025-09-13 14:29:35,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000083,TID_000083,ANL_013,PENDING_REVIEW,N/A,2025-10-22 09:29:42,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000084,TID_000084,ANL_005,CLOSED,INSUFFICIENT_DATA,2025-09-01 04:50:17,"{""Summary"": ""Case closed due to inactivity.""}"
CS_000085,TID_000085,ANL_002,CLOSED,FN_NOT_FRAUD,2025-08-15 07:20:03,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000086,TID_000086,ANL_043,CLOSED,INSUFFICIENT_DATA,2025-09-07 17:15:03,"{""Summary"": ""Case closed due to inactivity.""}"
CS_000087,TID_000087,ANL_015,CLOSED,FN_NOT_FRAUD,2025-09-21 03:51:54,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000088,TID_000088,ANL_015,CLOSED,FN_NOT_FRAUD,2025-09-04 15:35:18,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000089,TID_000089,ANL_036,CLOSED,W_CLOSED,2025-10-03 02:29:24,"{""Summary"": ""Case closed due to inactivity.""}"
CS_000090,TID_000090,ANL_002,OPEN,N/A,2025-09-22 23:18:25,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000091,TID_000091,ANL_019,PENDING_REVIEW,N/A,2025-10-16 05:28:34,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000092,TID_000092,ANL_032,CLOSED,FN_FRAUD,2025-09-03 21:29:26,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000093,TID_000093,ANL_004,CLOSED,FN_NOT_FRAUD,2025-09-26 10:16:09,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000094,TID_000094,ANL_028,OPEN,N/A,2025-08-25 11:10:36,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000095,TID_000095,ANL_019,CLOSED,FN_NOT_FRAUD,2025-09-03 12:50:16,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000096,TID_000096,ANL_009,PENDING_REVIEW,N/A,2025-09-08 14:02:05,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000097,TID_000097,ANL_009,CLOSED,FN_FRAUD,2025-10-07 20:59:05,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000098,TID_000098,ANL_010,CLOSED,FN_NOT_FRAUD,2025-09-03 22:04:29,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000099,TID_000099,ANL_007,CLOSED,FN_NOT_FRAUD,2025-09-22 01:31:02,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000100,TID_000100,ANL_047,CLOSED,FN_NOT_FRAUD,2025-09-12 11:25:02,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000101,TID_000101,ANL_024,CLOSED,W_CLOSED,2025-09-21 06:15:26,"{""Summary"": ""Case closed due to inactivity.""}"
CS_000102,TID_000102,ANL_002,CLOSED,FN_NOT_FRAUD,2025-10-12 16:54:35,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000103,TID_000103,ANL_031,PENDING_REVIEW,N/A,2025-08-29 12:09:58,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000104,TID_000104,ANL_029,CLOSED,FN_NOT_FRAUD,2025-10-06 14:31:32,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000105,TID_000105,ANL_044,OPEN,N/A,2025-08-09 12:37:22,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000106,TID_000106,ANL_005,CLOSED,FN_NOT_FRAUD,2025-08-05 21:51:59,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000107,TID_000107,ANL_004,OPEN,N/A,2025-09-20 10:36:48,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000108,TID_000108,ANL_002,OPEN,N/A,2025-08-11 23:04:48,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000109,TID_000109,ANL_003,CLOSED,FN_FRAUD,2025-09-06 11:07:52,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000110,TID_000110,ANL_018,OPEN,N/A,2025-10-19 22:30:44,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000111,TID_000111,ANL_003,PENDING_REVIEW,N/A,2025-08-25 02:49:44,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000112,TID_000112,ANL_004,CLOSED,FN_NOT_FRAUD,2025-08-15 05:47:03,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000113,TID_000113,ANL_038,PENDING_REVIEW,N/A,2025-09-07 14:13:17,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000114,TID_000114,ANL_010,CLOSED,FN_NOT_FRAUD,2025-08-19 18:23:09,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000115,TID_000115,ANL_007,CLOSED,FN_NOT_FRAUD,2025-08-26 22:40:25,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000116,TID_000116,ANL_035,CLOSED,FN_FRAUD,2025-07-31 11:38:17,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000117,TID_000117,ANL_019,PENDING_REVIEW,N/A,2025-10-13 21:01:42,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000118,TID_000118,ANL_030,CLOSED,W_CLOSED,2025-10-12 22:30:18,"{""Summary"": ""Case closed due to inactivity.""}"
CS_000119,TID_000119,ANL_009,CLOSED,FN_NOT_FRAUD,2025-10-15 07:19:42,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000120,TID_000120,ANL_043,PENDING_REVIEW,N/A,2025-10-16 20:34:54,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000121,TID_000121,ANL_025,OPEN,N/A,2025-10-07 22:52:58,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000122,TID_000122,ANL_047,CLOSED,FN_FRAUD,2025-08-30 16:05:12,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000123,TID_000123,ANL_005,PENDING_REVIEW,N/A,2025-10-06 11:42:31,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000124,TID_000124,ANL_018,CLOSED,FN_NOT_FRAUD,2025-10-23 07:32:26,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000125,TID_000125,ANL_008,CLOSED,FN_NOT_FRAUD,2025-09-14 13:35:02,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000126,TID_000126,ANL_013,CLOSED,FN_NOT_FRAUD,2025-08-04 11:56:59,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000127,TID_000127,ANL_023,CLOSED,FN_FRAUD,2025-09-27 21:10:29,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000128,TID_000128,ANL_048,CLOSED,INSUFFICIENT_DATA,2025-08-14 23:29:16,"{""Summary"": ""Case closed due to inactivity.""}"
CS_000129,TID_000129,ANL_010,CLOSED,INSUFFICIENT_DATA,2025-08-19 07:34:46,"{""Summary"": ""Case closed due to inactivity.""}"
CS_000130,TID_000130,ANL_046,CLOSED,FN_NOT_FRAUD,2025-08-03 03:30:15,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000131,TID_000131,ANL_025,CLOSED,FN_NOT_FRAUD,2025-10-12 05:15:13,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000132,TID_000132,ANL_007,CLOSED,FN_NOT_FRAUD,2025-10-05 21:16:30,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000133,TID_000133,ANL_045,CLOSED,W_CLOSED,2025-09-07 21:57:50,"{""Summary"": ""Case closed due to inactivity.""}"
CS_000134,TID_000134,ANL_040,CLOSED,FN_FRAUD,2025-08-23 13:29:32,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000135,TID_000135,ANL_003,PENDING_REVIEW,N/A,2025-07-28 14:05:56,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000136,TID_000136,ANL_031,CLOSED,FN_NOT_FRAUD,2025-10-22 22:21:10,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000137,TID_000137,ANL_016,PENDING_REVIEW,N/A,2025-09-17 15:09:08,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000138,TID_000138,ANL_045,CLOSED,FN_NOT_FRAUD,2025-07-27 21:50:24,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000139,TID_000139,ANL_001,CLOSED,FN_NOT_FRAUD,2025-08-16 11:58:36,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000140,TID_000140,ANL_015,OPEN,N/A,2025-10-15 21:17:54,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000141,TID_000141,ANL_007,PENDING_REVIEW,N/A,2025-09-01 07:45:52,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000142,TID_000142,ANL_008,CLOSED,FN_NOT_FRAUD,2025-09-22 07:45:28,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000143,TID_000143,ANL_010,CLOSED,FN_NOT_FRAUD,2025-09-24 23:53:55,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000144,TID_000144,ANL_036,PENDING_REVIEW,N/A,2025-10-18 21:51:35,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000145,TID_000145,ANL_043,PENDING_REVIEW,N/A,2025-09-14 21:25:20,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000146,TID_000146,ANL_003,CLOSED,FN_NOT_FRAUD,2025-10-04 21:59:45,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000147,TID_000147,ANL_041,CLOSED,W_CLOSED,2025-09-08 12:14:50,"{""Summary"": ""Case closed due to inactivity.""}"
CS_000148,TID_000148,ANL_007,CLOSED,FN_NOT_FRAUD,2025-09-10 09:56:25,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000149,TID_000149,ANL_005,CLOSED,FN_FRAUD,2025-08-06 13:00:36,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000150,TID_000150,ANL_002,PENDING_REVIEW,N/A,2025-09-25 02:54:50,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000151,TID_000151,ANL_043,OPEN,N/A,2025-09-12 08:28:17,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000152,TID_000152,ANL_024,PENDING_REVIEW,N/A,2025-10-15 23:24:50,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000153,TID_000153,ANL_030,PENDING_REVIEW,N/A,2025-10-13 13:30:42,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000154,TID_000154,ANL_001,OPEN,N/A,2025-10-19 22:18:08,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000155,TID_000155,ANL_002,CLOSED,FN_NOT_FRAUD,2025-08-14 10:40:33,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000156,TID_000156,ANL_041,CLOSED,FN_FRAUD,2025-10-13 10:24:33,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000157,TID_000157,ANL_033,CLOSED,FN_NOT_FRAUD,2025-09-09 16:05:24,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000158,TID_000158,ANL_005,CLOSED,FN_FRAUD,2025-10-01 20:56:55,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000159,TID_000159,ANL_009,CLOSED,FN_NOT_FRAUD,2025-08-20 13:06:30,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000160,TID_000160,ANL_010,CLOSED,FN_NOT_FRAUD,2025-09-20 14:41:28,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000161,TID_000161,ANL_015,CLOSED,FN_NOT_FRAUD,2025-10-06 01:12:59,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000162,TID_000162,ANL_024,PENDING_REVIEW,N/A,2025-09-25 15:59:14,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000163,TID_000163,ANL_025,PENDING_REVIEW,N/A,2025-09-12 21:54:50,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000164,TID_000164,ANL_009,CLOSED,W_CLOSED,2025-07-27 18:57:40,"{""Summary"": ""Case closed due to inactivity.""}"
CS_000165,TID_000165,ANL_047,CLOSED,FN_FRAUD,2025-09-19 19:39:18,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000166,TID_000166,ANL_008,PENDING_REVIEW,N/A,2025-08-27 22:52:37,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000167,TID_000167,ANL_003,OPEN,N/A,2025-09-30 14:35:01,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000168,TID_000168,ANL_006,CLOSED,FN_FRAUD,2025-10-10 21:27:44,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000169,TID_000169,ANL_003,CLOSED,FN_NOT_FRAUD,2025-07-28 04:18:52,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000170,TID_000170,ANL_021,CLOSED,FN_FRAUD,2025-09-28 23:48:48,"{""Summary"": ""Confirmed fraud. Account compromised.""}"
CS_000171,TID_000171,ANL_003,CLOSED,FN_NOT_FRAUD,2025-10-12 08:36:22,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000172,TID_000172,ANL_015,CLOSED,FN_NOT_FRAUD,2025-09-30 03:53:39,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000173,TID_000173,ANL_006,CLOSED,FN_NOT_FRAUD,2025-09-26 07:22:51,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000174,TID_000174,ANL_003,CLOSED,FN_NOT_FRAUD,2025-07-29 22:21:56,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000175,TID_000175,ANL_009,OPEN,N/A,2025-08-27 03:17:52,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000176,TID_000176,ANL_001,PENDING_REVIEW,N/A,2025-08-27 12:24:03,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000177,TID_000177,ANL_002,CLOSED,FN_NOT_FRAUD,2025-10-03 07:21:32,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000178,TID_000178,ANL_011,CLOSED,FN_NOT_FRAUD,2025-07-29 04:22:13,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000179,TID_000179,ANL_009,CLOSED,FN_NOT_FRAUD,2025-09-16 15:38:11,"{""Summary"": ""User verified transaction as legitimate.""}"
CS_000180,TID_000180,ANL_002,PENDING_REVIEW,N/A,2025-09-27 13:01:05,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000181,TID_000181,ANL_037,OPEN,N/A,2025-08-17 07:56:37,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000182,TID_000182,ANL_027,PENDING_REVIEW,N/A,2025-08-18 15:17:48,"{""Initial_Assessment"": ""Automatic trigger on velocity breach.""}"
CS_000183,TID_000183,ANL_022,CLOSED,FN_NOT_FRAUD,2025-08-29 17:31:41,"{""Summary"": ""User verified transaction as legitimate.""}"
