FeedID,TransactionID,IP_Risk_Score,Email_Domain_Age,VPN_Flag
FID_000099,TID_000099,12.3,233,False
FID_000100,TID_000100,18.2,180,False
FID_000101,TID_000101,4.4,5000,True
FID_000102,TID_000102,7.8,2104,False
FID_000103,TID_000103,10.4,5000,False
FID_000104,TID_000104,1.0,5000,False
FID_000105,TID_000105,14.2,5000,False
FID_000106,TID_000106,3.1,2,True
FID_000107,TID_000107,3.9,1885,False
FID_000108,TID_000108,17.1,601,False
FID_000109,TID_000109,24.6,578,False
FID_000110,TID_000110,8.1,300,False
FID_000111,TID_000111,15.5,259,False
FID_000112,TID_000112,35.2,86,False
FID_000113,TID_000113,29.8,117,False
FID_000114,TID_000114,8.7,5000,False
FID_000115,TID_000115,8.0,291,False
FID_000116,TID_000116,22.0,297,False
FID_000117,TID_000117,12.0,677,False
FID_000118,TID_000118,3.5,1857,False
FID_000119,TID_000119,5.5,496,False
FID_000120,TID_000120,16.8,1266,False
FID_000121,TID_000121,5.5,776,False
FID_000122,TID_000122,4.5,1844,False
FID_000123,TID_000123,9.2,138,False
FID_000124,TID_000124,5.2,5000,False
FID_000125,TID_000125,1.4,2544,False
FID_000126,TID_000126,11.8,1327,False
FID_000127,TID_000127,14.0,5000,False
FID_000128,TID_000128,3.9,2039,True
FID_000129,TID_000129,33.8,1272,False
FID_000130,TID_000130,4.3,1749,True
FID_000131,TID_000131,32.6,201,False
FID_000132,TID_000132,12.5,1577,False
FID_000133,TID_000133,12.3,556,False
FID_000134,TID_000134,58.0,53,False
FID_000135,TID_000135,1.4,4362,False
FID_000136,TID_000136,13.7,1204,False
FID_000137,TID_000137,1.1,2821,False
FID_000138,TID_000138,1.0,1090,True
FID_000139,TID_000139,1.0,5000,True
FID_000140,TID_000140,14.6,5000,False
FID_000141,TID_000141,4.1,2168,False
FID_000142,TID_000142,12.9,2069,False
FID_000143,TID_000143,2.7,63,True
FID_000144,TID_000144,8.9,339,False
FID_000145,TID_000145,13.7,132,False
FID_000146,TID_000146,3.2,68,False
FID_000147,TID_000147,28.4,851,False
FID_000148,TID_000148,6.2,5000,False
FID_000149,TID_000149,10.5,236,False
FID_000150,TID_000150,9.5,83,True
FID_000151,TID_000151,5.3,3488,False
FID_000152,TID_000152,14.0,122,False
FID_000153,TID_000153,3.9,1309,False
FID_000154,TID_000154,1.0,12,True
FID_000155,TID_000155,4.4,1662,False
FID_000156,TID_000156,5.9,308,False
FID_000157,TID_000157,5.0,415,False
FID_000158,TID_000158,15.8,128,False
FID_000159,TID_000159,6.0,5000,False
FID_000160,TID_000160,5.8,351,False
FID_000161,TID_000161,17.1,885,False
FID_000162,TID_000162,10.8,40,False
FID_000163,TID_000163,1.0,346,True
FID_000164,TID_000164,38.8,777,False
FID_000165,TID_000165,3.1,41,True
FID_000166,TID_000166,33.4,1123,False
FID_000167,TID_000167,12.0,946,False
FID_000168,TID_000168,1.0,331,False
FID_000169,TID_000169,14.1,700,False
FID_000170,TID_000170,27.1,13,False
FID_000171,TID_000171,1.8,128,False
FID_000172,TID_000172,12.0,668,False
FID_000173,TID_000173,19.0,2291,True
FID_000174,TID_000174,1.0,354,False
FID_000175,TID_000175,3.2,117,True
FID_000176,TID_000176,2.2,590,False
FID_000177,TID_000177,35.5,169,True
FID_000178,TID_000178,13.6,100,False
FID_000179,TID_000179,1.0,5000,False
FID_000180,TID_000180,6.4,42,False
FID_000181,TID_000181,6.1,98,False
FID_000182,TID_000182,4.9,737,False
FID_000183,TID_000183,3.5,1107,False
FID_000184,TID_000184,23.9,5000,False
FID_000185,TID_000185,13.0,296,False
FID_000186,TID_000186,9.7,236,False
FID_000187,TID_000187,2.1,5000,False
FID_000188,TID_000188,1.0,743,False
FID_000189,TID_000189,35.3,485,False
FID_000190,TID_000190,14.5,3623,False
FID_000191,TID_000191,15.7,42,False
FID_000192,TID_000192,6.6,59,False
FID_000193,TID_000193,1.0,843,False
FID_000194,TID_000194,10.8,40,True
FID_000195,TID_000195,3.8,3012,False
FID_000196,TID_000196,1.0,5000,False
FID_000197,TID_000197,19.9,3990,True
FID_000198,TID_000198,2.0,5000,True
FID_000199,TID_000199,5.8,101,False
FID_000200,TID_000200,21.8,5000,False
FID_000201,TID_000201,1.0,480,True
FID_000202,TID_000202,21.4,283,False
FID_000203,TID_000203,1.0,724,False
FID_000204,TID_000204,19.8,1554,False
FID_000205,TID_000205,6.9,532,False
FID_000206,TID_000206,40.5,880,False
FID_000207,TID_000207,7.4,509,False
FID_000208,TID_000208,15.2,2575,False
FID_000209,TID_000209,10.3,5000,False
FID_000210,TID_000210,1.0,46,True
FID_000211,TID_000211,5.9,4064,False
FID_000212,TID_000212,4.0,570,False
FID_000213,TID_000213,32.6,801,False
FID_000214,TID_000214,3.2,823,True
FID_000215,TID_000215,5.5,4004,False
FID_000216,TID_000216,29.0,53,False
FID_000217,TID_000217,2.8,521,False
FID_000218,TID_000218,10.3,195,True
FID_000219,TID_000219,17.9,4790,False
FID_000220,TID_000220,2.1,5000,False
FID_000221,TID_000221,18.0,3459,True
FID_000222,TID_000222,2.7,1098,False
FID_000223,TID_000223,15.7,4334,True
FID_000224,TID_000224,4.1,64,False
FID_000225,TID_000225,11.0,481,False
FID_000226,TID_000226,13.6,343,False
FID_000227,TID_000227,1.7,564,True
FID_000228,TID_000228,10.6,1462,True
FID_000229,TID_000229,15.2,495,False
FID_000230,TID_000230,1.5,5000,True
FID_000231,TID_000231,3.4,823,False
FID_000232,TID_000232,11.4,5000,False
FID_000233,TID_000233,8.2,3405,False
FID_000234,TID_000234,7.3,5000,False
FID_000235,TID_000235,16.3,5000,False
FID_000236,TID_000236,37.2,45,False
FID_000237,TID_000237,1.0,5000,True
FID_000238,TID_000238,4.6,5000,True
FID_000239,TID_000239,12.5,5000,False
FID_000240,TID_000240,12.3,80,False
FID_000241,TID_000241,4.1,1385,False
FID_000242,TID_000242,7.0,5000,False
FID_000243,TID_000243,33.1,88,False
FID_000244,TID_000244,5.8,1583,False
FID_000245,TID_000245,16.7,5000,False
FID_000246,TID_000246,28.2,1890,False
FID_000247,TID_000247,11.2,2313,False
FID_000248,TID_000248,18.2,1766,False
FID_000249,TID_000249,2.2,604,False
FID_000250,TID_000250,38.5,5000,True
FID_000251,TID_000251,5.6,5000,False
FID_000252,TID_000252,8.1,203,False
FID_000253,TID_000253,3.3,32,False
FID_000254,TID_000254,2.5,131,False
FID_000255,TID_000255,5.7,354,False
FID_000256,TID_000256,22.0,2974,False
FID_000257,TID_000257,4.3,342,False
FID_000258,TID_000258,1.0,2498,False
FID_000259,TID_000259,1.2,1521,False
FID_000260,TID_000260,2.8,302,False
FID_000261,TID_000261,6.3,171,False
FID_000262,TID_000262,10.9,5000,False
FID_000263,TID_000263,5.7,1439,False
FID_000264,TID_000264,7.1,558,False
FID_000265,TID_000265,31.4,5000,False
FID_000266,TID_000266,8.2,5000,False
FID_000267,TID_000267,6.7,2158,False
FID_000268,TID_000268,17.0,494,False
FID_000269,TID_000269,7.0,1343,False
FID_000270,TID_000270,16.0,1519,True
FID_000271,TID_000271,3.9,904,False
FID_000272,TID_000272,20.8,223,True
FID_000273,TID_000273,21.8,750,False
FID_000274,TID_000274,3.2,5000,False
FID_000275,TID_000275,8.6,2919,True
FID_000276,TID_000276,25.5,1183,False
FID_000277,TID_000277,1.2,176,False
FID_000278,TID_000278,8.6,1248,False
FID_000279,TID_000279,6.0,5000,False
FID_000280,TID_000280,13.9,4269,False
FID_000281,TID_000281,6.0,3586,True
FID_000282,TID_000282,53.4,3781,False
FID_000283,TID_000283,10.4,606,False
FID_000284,TID_000284,1.0,5000,True
FID_000285,TID_000285,29.1,142,False
FID_000286,TID_000286,6.4,271,True
FID_000287,TID_000287,1.0,3515,False
FID_000288,TID_000288,33.2,3406,False
FID_000289,TID_000289,18.1,5000,False
FID_000290,TID_000290,7.0,5000,False
FID_000291,TID_000291,10.7,3206,False
FID_000292,TID_000292,9.1,2934,False
FID_000293,TID_000293,5.2,231,False
FID_000294,TID_000294,8.8,2722,False
FID_000295,TID_000295,6.7,5000,False
FID_000296,TID_000296,7.8,527,False
FID_000297,TID_000297,52.0,5000,False
FID_000298,TID_000298,16.4,2608,False
FID_000299,TID_000299,9.4,5000,False
FID_000300,TID_000300,8.0,1125,False
FID_000301,TID_000301,2.3,769,True
FID_000302,TID_000302,4.3,329,True
FID_000303,TID_000303,19.7,1252,False
FID_000304,TID_000304,2.3,283,False
FID_000305,TID_000305,9.5,59,False
FID_000306,TID_000306,1.0,5000,False
FID_000307,TID_000307,1.8,348,False
FID_000308,TID_000308,8.3,946,False
FID_000309,TID_000309,4.7,385,False
FID_000310,TID_000310,18.9,5000,False
FID_000311,TID_000311,14.9,326,False
FID_000312,TID_000312,12.1,3712,False
FID_000313,TID_000313,19.7,1964,False
FID_000314,TID_000314,7.4,1053,True
FID_000315,TID_000315,14.0,2763,False
FID_000316,TID_000316,7.4,829,False
FID_000317,TID_000317,5.0,207,False
FID_000318,TID_000318,2.4,5000,False
FID_000319,TID_000319,5.2,535,False
FID_000320,TID_000320,11.4,491,False
FID_000321,TID_000321,1.1,4378,False
FID_000322,TID_000322,12.0,148,False
FID_000323,TID_000323,1.0,5000,False
FID_000324,TID_000324,2.2,3529,False
FID_000325,TID_000325,10.8,28,True
FID_000326,TID_000326,1.0,78,False
FID_000327,TID_000327,3.5,33,False
FID_000328,TID_000328,4.5,209,False
FID_000329,TID_000329,8.5,3165,False
FID_000330,TID_000330,1.1,2185,False
FID_000331,TID_000331,1.0,1120,True
FID_000332,TID_000332,11.6,812,True
FID_000333,TID_000333,9.0,3995,False
FID_000334,TID_000334,3.4,79,False
FID_000335,TID_000335,30.8,3427,False
FID_000336,TID_000336,4.5,1857,True
FID_000337,TID_000337,56.8,5000,True
FID_000338,TID_000338,27.1,1758,False
FID_000339,TID_000339,6.4,1577,True
FID_000340,TID_000340,14.2,2044,False
FID_000341,TID_000341,1.0,5000,False
FID_000342,TID_000342,10.5,210,False
FID_000343,TID_000343,2.1,658,False
FID_000344,TID_000344,15.2,2173,False
FID_000345,TID_000345,3.3,5000,False
FID_000346,TID_000346,28.6,1715,False
FID_000347,TID_000347,4.1,1991,False
FID_000348,TID_000348,12.6,5000,False
FID_000349,TID_000349,2.5,4289,True
FID_000350,TID_000350,9.1,37,False
FID_000351,TID_000351,36.6,359,False
FID_000352,TID_000352,13.5,354,False
FID_000353,TID_000353,36.6,5000,False
FID_000354,TID_000354,8.6,1507,False
FID_000355,TID_000355,14.9,5000,False
FID_000356,TID_000356,1.0,379,False
FID_000357,TID_000357,3.7,3652,False
FID_000358,TID_000358,1.0,251,True
FID_000359,TID_000359,16.2,200,False
FID_000360,TID_000360,3.4,194,True
FID_000361,TID_000361,13.4,142,False
FID_000362,TID_000362,4.7,2578,False
FID_000363,TID_000363,8.1,2763,False
FID_000364,TID_000364,6.8,1165,False
FID_000365,TID_000365,1.7,5000,False
FID_000366,TID_000366,8.9,541,False
FID_000367,TID_000367,3.0,406,False
FID_000368,TID_000368,14.5,847,False
FID_000369,TID_000369,12.0,2065,False
FID_000370,TID_000370,21.7,216,False
FID_000371,TID_000371,1.0,5000,False
FID_000372,TID_000372,13.8,561,False
FID_000373,TID_000373,18.5,297,False
FID_000374,TID_000374,6.2,5000,False
FID_000375,TID_000375,7.4,5000,True
FID_000376,TID_000376,9.3,194,False
FID_000377,TID_000377,1.0,5000,False
FID_000378,TID_000378,2.0,5000,False
FID_000379,TID_000379,31.0,630,False
FID_000380,TID_000380,3.4,121,False
FID_000381,TID_000381,3.1,1128,False
FID_000382,TID_000382,26.3,3006,False
FID_000383,TID_000383,4.3,424,False
FID_000384,TID_000384,8.0,5000,False
FID_000385,TID_000385,11.2,2536,False
FID_000386,TID_000386,2.0,3931,True
FID_000387,TID_000387,1.7,419,False
FID_000388,TID_000388,14.2,5000,False
FID_000389,TID_000389,16.5,228,False
FID_000390,TID_000390,1.0,5000,True
FID_000391,TID_000391,2.8,518,False
FID_000392,TID_000392,9.1,675,False
FID_000393,TID_000393,2.7,2093,False
FID_000394,TID_000394,28.2,21,True
FID_000395,TID_000395,1.1,517,False
FID_000396,TID_000396,25.3,5000,False
FID_000397,TID_000397,11.9,969,False
FID_000398,TID_000398,1.4,591,False
FID_000399,TID_000399,11.2,5000,False
FID_000400,TID_000400,6.2,365,False
FID_000401,TID_000401,10.0,1966,False
FID_000402,TID_000402,1.8,172,False
FID_000403,TID_000403,11.4,182,False
FID_000404,TID_000404,1.0,1493,False
FID_000405,TID_000405,1.0,750,False
FID_000406,TID_000406,8.3,5000,False
FID_000407,TID_000407,6.8,3894,False
FID_000408,TID_000408,32.7,5000,False
FID_000409,TID_000409,5.6,338,True
FID_000410,TID_000410,1.0,358,False
FID_000411,TID_000411,1.3,2208,False
FID_000412,TID_000412,1.0,421,False
FID_000413,TID_000413,15.8,8,False
FID_000414,TID_000414,1.7,209,False
FID_000415,TID_000415,10.0,2860,False
FID_000416,TID_000416,12.4,746,False
FID_000417,TID_000417,3.5,827,False
FID_000418,TID_000418,13.2,122,False
FID_000419,TID_000419,22.0,2616,False
FID_000420,TID_000420,4.0,5000,True
FID_000421,TID_000421,14.1,2626,False
FID_000422,TID_000422,16.5,1198,False
FID_000423,TID_000423,8.5,5000,True
FID_000424,TID_000424,5.2,85,False
FID_000425,TID_000425,6.0,286,False
FID_000426,TID_000426,3.2,1935,False
FID_000427,TID_000427,19.2,174,False
FID_000428,TID_000428,7.9,217,False
FID_000429,TID_000429,1.0,2076,False
FID_000430,TID_000430,6.0,3353,False
FID_000431,TID_000431,24.0,779,False
FID_000432,TID_000432,27.8,5000,False
FID_000433,TID_000433,6.2,813,False
FID_000434,TID_000434,4.3,1131,False
FID_000435,TID_000435,7.3,5000,False
FID_000436,TID_000436,2.9,5000,False
FID_000437,TID_000437,13.3,2304,False
FID_000438,TID_000438,1.0,632,True
FID_000439,TID_000439,6.8,64,False
FID_000440,TID_000440,1.0,232,True
FID_000441,TID_000441,1.7,21,False
FID_000442,TID_000442,13.3,2902,False
FID_000443,TID_000443,10.6,721,False
FID_000444,TID_000444,7.4,5000,True
FID_000445,TID_000445,4.3,220,False
FID_000446,TID_000446,18.5,2489,False
FID_000447,TID_000447,1.2,5000,False
FID_000448,TID_000448,4.7,704,False
FID_000449,TID_000449,3.1,5000,False
FID_000450,TID_000450,12.1,5000,False
FID_000451,TID_000451,3.4,295,False
FID_000452,TID_000452,7.1,144,False
FID_000453,TID_000453,1.0,8,False
FID_000454,TID_000454,6.5,1329,False
FID_000455,TID_000455,13.6,32,True
FID_000456,TID_000456,2.5,1415,False
FID_000457,TID_000457,2.8,5000,True
FID_000458,TID_000458,3.7,5000,False
FID_000459,TID_000459,22.6,5000,True
FID_000460,TID_000460,10.1,3258,False
FID_000461,TID_000461,29.2,5000,False
FID_000462,TID_000462,15.9,5000,True
FID_000463,TID_000463,17.7,705,True
FID_000464,TID_000464,1.0,5000,False
FID_000465,TID_000465,8.1,2209,True
FID_000466,TID_000466,54.1,1088,False
FID_000467,TID_000467,23.8,5000,False
FID_000468,TID_000468,3.2,74,False
FID_000469,TID_000469,15.2,5000,False
FID_000470,TID_000470,12.2,52,False
FID_000471,TID_000471,7.6,1553,False
FID_000472,TID_000472,9.9,488,False
FID_000473,TID_000473,9.8,620,False
FID_000474,TID_000474,9.2,19,True
FID_000475,TID_000475,4.8,5000,False
FID_000476,TID_000476,5.1,3201,False
FID_000477,TID_000477,6.6,132,False
FID_000478,TID_000478,28.7,2842,False
FID_000479,TID_000479,21.7,5000,False
FID_000480,TID_000480,1.0,234,False
FID_000481,TID_000481,23.0,106,True
FID_000482,TID_000482,2.9,34,True
FID_000483,TID_000483,9.0,836,False
FID_000484,TID_000484,1.3,71,False
FID_000485,TID_000485,19.4,5000,False
FID_000486,TID_000486,1.0,124,False
FID_000487,TID_000487,10.3,3529,False
FID_000488,TID_000488,3.8,1008,False
FID_000489,TID_000489,11.2,921,False
FID_000490,TID_000490,35.0,5000,False
FID_000491,TID_000491,1.0,2009,False
FID_000492,TID_000492,43.9,1866,False
FID_000493,TID_000493,2.0,5000,False
FID_000494,TID_000494,1.0,171,False
FID_000495,TID_000495,34.1,3441,False
FID_000496,TID_000496,2.0,5000,False
FID_000497,TID_000497,21.6,5000,False
FID_000498,TID_000498,2.7,4632,False
FID_000499,TID_000499,9.3,388,True
FID_000500,TID_000500,4.9,112,False
FID_000501,TID_000501,5.1,5000,False
FID_000502,TID_000502,2.6,1351,False
FID_000503,TID_000503,25.7,896,False
FID_000504,TID_000504,6.5,311,False
FID_000505,TID_000505,5.3,4718,False
FID_000506,TID_000506,24.0,2056,False
FID_000507,TID_000507,3.1,178,False
FID_000508,TID_000508,38.9,254,False
FID_000509,TID_000509,14.8,257,False
FID_000510,TID_000510,6.8,122,False
FID_000511,TID_000511,13.1,1387,False
FID_000512,TID_000512,1.0,191,False
FID_000513,TID_000513,21.1,5000,False
FID_000514,TID_000514,18.5,108,False
FID_000515,TID_000515,2.6,4126,False
FID_000516,TID_000516,12.1,63,True
FID_000517,TID_000517,17.0,3916,False
FID_000518,TID_000518,11.1,92,False
FID_000519,TID_000519,21.3,170,False
FID_000520,TID_000520,9.5,1472,False
FID_000521,TID_000521,13.8,5000,True
FID_000522,TID_000522,7.7,502,True
FID_000523,TID_000523,11.2,5000,False
FID_000524,TID_000524,5.1,5000,False
FID_000525,TID_000525,1.0,4984,False
FID_000526,TID_000526,9.4,14,False
FID_000527,TID_000527,13.7,2841,False
FID_000528,TID_000528,9.1,4071,False
FID_000529,TID_000529,4.1,2881,False
FID_000530,TID_000530,1.0,299,True
FID_000531,TID_000531,10.9,1484,False
FID_000532,TID_000532,17.3,5000,False
FID_000533,TID_000533,14.2,1775,False
FID_000534,TID_000534,10.6,1218,False
FID_000535,TID_000535,4.9,153,False
FID_000536,TID_000536,4.4,866,False
FID_000537,TID_000537,14.6,5000,False
FID_000538,TID_000538,6.9,318,False
FID_000539,TID_000539,2.9,218,False
FID_000540,TID_000540,1.0,1297,False
FID_000541,TID_000541,22.9,1285,False
FID_000542,TID_000542,26.0,673,False
FID_000543,TID_000543,1.0,5000,False
FID_000544,TID_000544,5.0,557,False
FID_000545,TID_000545,9.3,759,False
FID_000546,TID_000546,1.5,2839,False
FID_000547,TID_000547,1.3,244,False
FID_000548,TID_000548,5.1,14,False
FID_000549,TID_000549,1.0,177,False
FID_000550,TID_000550,5.2,5000,False
FID_000551,TID_000551,4.4,11,False
FID_000552,TID_000552,22.0,437,False
FID_000553,TID_000553,12.3,4000,True
FID_000554,TID_000554,1.4,388,False
FID_000555,TID_000555,1.0,167,False
FID_000556,TID_000556,4.9,2524,True
FID_000557,TID_000557,19.6,663,True
FID_000558,TID_000558,4.9,2987,False
FID_000559,TID_000559,8.8,872,False
FID_000560,TID_000560,6.5,418,False
FID_000561,TID_000561,9.4,268,False
FID_000562,TID_000562,13.2,1113,False
FID_000563,TID_000563,18.4,651,False
FID_000564,TID_000564,27.1,460,False
FID_000565,TID_000565,11.9,739,True
FID_000566,TID_000566,10.4,1227,False
FID_000567,TID_000567,3.2,2564,True
FID_000568,TID_000568,29.7,1735,False
FID_000569,TID_000569,2.9,3181,False
FID_000570,TID_000570,14.8,5000,False
FID_000571,TID_000571,23.5,104,False
FID_000572,TID_000572,2.7,95,False
FID_000573,TID_000573,9.2,3343,False
FID_000574,TID_000574,9.3,5000,False
FID_000575,TID_000575,14.3,30,False
FID_000576,TID_000576,4.7,5000,False
FID_000577,TID_000577,1.0,5000,False
FID_000578,TID_000578,12.2,5000,False
FID_000579,TID_000579,9.6,5000,False
FID_000580,TID_000580,19.2,280,False
FID_000581,TID_000581,3.2,1568,False
FID_000582,TID_000582,20.6,66,False
FID_000583,TID_000583,33.3,1372,False
FID_000584,TID_000584,9.4,1768,False
FID_000585,TID_000585,15.4,423,False
FID_000586,TID_000586,4.2,1253,False
FID_000587,TID_000587,3.5,5000,False
FID_000588,TID_000588,1.3,5000,True
FID_000589,TID_000589,4.0,13,False
FID_000590,TID_000590,1.0,184,False
FID_000591,TID_000591,14.5,864,False
FID_000592,TID_000592,16.9,321,False
FID_000593,TID_000593,3.6,5000,False
FID_000594,TID_000594,8.5,651,False
FID_000595,TID_000595,5.2,5000,False
FID_000596,TID_000596,19.0,5000,False
FID_000597,TID_000597,21.1,5000,False
FID_000598,TID_000598,29.4,1641,False
FID_000599,TID_000599,1.0,5000,False
FID_000600,TID_000600,13.9,1963,False
FID_000601,TID_000601,13.6,1539,False
FID_000602,TID_000602,3.1,596,True
FID_000603,TID_000603,13.0,1753,False
FID_000604,TID_000604,17.7,290,False
FID_000605,TID_000605,6.1,325,False
FID_000606,TID_000606,4.4,105,False
FID_000607,TID_000607,15.3,822,False
FID_000608,TID_000608,6.3,27,False
FID_000609,TID_000609,7.1,5000,True
FID_000610,TID_000610,25.2,2102,False
FID_000611,TID_000611,13.9,3611,False
FID_000612,TID_000612,1.0,1456,False
FID_000613,TID_000613,2.5,220,False
FID_000614,TID_000614,10.1,2043,False
FID_000615,TID_000615,1.7,14,False
FID_000616,TID_000616,5.1,369,False
FID_000617,TID_000617,1.0,5000,True
FID_000618,TID_000618,4.5,5000,False
FID_000619,TID_000619,15.6,5000,True
FID_000620,TID_000620,3.3,296,False
FID_000621,TID_000621,10.4,3775,False
FID_000622,TID_000622,1.0,81,False
FID_000623,TID_000623,7.0,114,False
FID_000624,TID_000624,28.8,3065,False
FID_000625,TID_000625,4.8,480,False
FID_000626,TID_000626,15.4,2212,False
FID_000627,TID_000627,10.8,5000,False
FID_000628,TID_000628,15.4,271,False
FID_000629,TID_000629,3.5,5000,False
FID_000630,TID_000630,1.0,339,False
FID_000631,TID_000631,9.6,1094,False
FID_000632,TID_000632,18.8,367,False
FID_000633,TID_000633,6.6,2154,False
FID_000634,TID_000634,6.7,720,False
FID_000635,TID_000635,5.4,4993,True
FID_000636,TID_000636,12.4,622,False
FID_000637,TID_000637,19.6,655,False
FID_000638,TID_000638,10.0,11,True
FID_000639,TID_000639,4.4,4365,False
FID_000640,TID_000640,24.6,3988,False
FID_000641,TID_000641,1.0,30,True
FID_000642,TID_000642,11.3,1939,False
FID_000643,TID_000643,24.3,2149,False
FID_000644,TID_000644,7.6,1020,False
FID_000645,TID_000645,10.9,1220,False
FID_000646,TID_000646,10.5,601,False
FID_000647,TID_000647,13.0,24,False
FID_000648,TID_000648,12.8,4129,False
FID_000649,TID_000649,31.6,2414,True
FID_000650,TID_000650,9.7,215,False
FID_000651,TID_000651,7.2,1100,False
FID_000652,TID_000652,10.8,2165,True
FID_000653,TID_000653,22.5,684,True
FID_000654,TID_000654,16.4,1118,False
FID_000655,TID_000655,6.1,5000,False
FID_000656,TID_000656,5.3,90,False
FID_000657,TID_000657,7.8,1208,False
FID_000658,TID_000658,1.0,311,False
FID_000659,TID_000659,3.6,751,False
FID_000660,TID_000660,5.1,3391,False
FID_000661,TID_000661,14.0,592,False
FID_000662,TID_000662,11.7,5000,False
FID_000663,TID_000663,5.7,22,False
FID_000664,TID_000664,14.7,683,False
FID_000665,TID_000665,23.8,3567,False
FID_000666,TID_000666,4.8,788,False
FID_000667,TID_000667,14.0,115,False
FID_000668,TID_000668,1.0,367,False
FID_000669,TID_000669,9.1,5000,False
FID_000670,TID_000670,4.9,254,False
FID_000671,TID_000671,23.1,197,False
FID_000672,TID_000672,26.7,627,False
FID_000673,TID_000673,29.2,1099,False
FID_000674,TID_000674,9.1,269,False
FID_000675,TID_000675,8.4,200,True
FID_000676,TID_000676,1.9,277,False
FID_000677,TID_000677,20.5,5000,True
FID_000678,TID_000678,6.6,5000,False
