Blocked_ID,Block_Type,Reason_Code,Expiration_Date,Source_System
MID_6604,MERCHANT_ID,HARD_FRAUD,2027-10-03,ML Decision
UID_96315,USER_ID,SANCTIONS,2026-06-22,Manual Review
CARD_000065,CARD_HASH,HARD_FRAUD,2026-02-17,Compliance
51.176.17.68,IP_ADDRESS,HARD_FRAUD,2025-11-25,Manual Review
UID_50755,USER_ID,SANCTIONS,2026-09-05,External Feed
UID_44241,USER_ID,SPOOFING,2026-08-17,Manual Review
ACC_226908,ACCOUNT_ID,HARD_FRAUD,2028-05-27,Manual Review
UID_31433,USER_ID,SPOOFING,2025-07-02,Manual Review
237.92.25.122,IP_ADDRESS,SPOOFING,2026-06-18,External Feed
116.145.68.234,IP_ADDRESS,HARD_FRAUD,2027-09-14,Manual Review
UID_27846,USER_ID,SANCTIONS,2026-08-12,Manual Review
ACC_180150,ACCOUNT_ID,SPOOFING,2027-04-01,ML Decision
MID_1604,MERCHANT_ID,SANCTIONS,2026-05-04,Manual Review
93.174.220.179,IP_ADDRESS,SPOOFING,2028-07-12,Compliance
ACC_872710,ACCOUNT_ID,VELOCITY_BREACH,2028-06-21,ML Decision
UID_19000,USER_ID,HARD_FRAUD,2028-06-30,ML Decision
179.60.182.122,IP_ADDRESS,SANCTIONS,2028-10-12,Compliance
CARD_000080,CARD_HASH,VELOCITY_BREACH,2026-06-04,External Feed
220.23.228.93,IP_ADDRESS,SPOOFING,2027-09-30,Manual Review
UID_87823,USER_ID,WATCHLIST,2027-04-22,Manual Review
CARD_000083,CARD_HASH,SANCTIONS,2028-03-29,ML Decision
ACC_606829,ACCOUNT_ID,SPOOFING,2027-09-20,ML Decision
CARD_000085,CARD_HASH,VELOCITY_BREACH,2028-08-06,ML Decision
ACC_396043,ACCOUNT_ID,WATCHLIST,2027-12-20,ML Decision
UID_68798,USER_ID,HARD_FRAUD,2028-03-22,ML Decision
ACC_971013,ACCOUNT_ID,VELOCITY_BREACH,2026-11-06,External Feed
96.247.233.34,IP_ADDRESS,WATCHLIST,2026-08-18,External Feed
ACC_868911,ACCOUNT_ID,SPOOFING,2027-04-22,Manual Review
UID_55296,USER_ID,WATCHLIST,2027-11-17,Manual Review
UID_55663,USER_ID,HARD_FRAUD,2028-06-02,Compliance
UID_17980,USER_ID,SANCTIONS,2027-08-20,ML Decision
44.208.97.63,IP_ADDRESS,SANCTIONS,2026-05-29,Manual Review
133.138.204.121,IP_ADDRESS,HARD_FRAUD,2028-06-18,ML Decision
UID_92026,USER_ID,SPOOFING,2028-02-28,ML Decision
UID_52884,USER_ID,VELOCITY_BREACH,2028-06-01,ML Decision
ACC_716121,ACCOUNT_ID,HARD_FRAUD,2026-07-02,Manual Review
140.79.209.19,IP_ADDRESS,HARD_FRAUD,2026-02-06,Compliance
ACC_441814,ACCOUNT_ID,SPOOFING,2026-08-14,ML Decision
UID_99431,USER_ID,HARD_FRAUD,2027-05-23,External Feed
UID_50739,USER_ID,VELOCITY_BREACH,2028-09-17,ML Decision
ACC_990037,ACCOUNT_ID,HARD_FRAUD,2027-07-17,External Feed
33.120.88.150,IP_ADDRESS,HARD_FRAUD,2028-10-09,External Feed
ACC_227466,ACCOUNT_ID,WATCHLIST,2027-06-07,ML Decision
ACC_879562,ACCOUNT_ID,WATCHLIST,2028-07-23,Manual Review
126.219.13.7,IP_ADDRESS,VELOCITY_BREACH,2027-08-05,ML Decision
UID_66013,USER_ID,VELOCITY_BREACH,2026-02-12,External Feed
189.190.170.23,IP_ADDRESS,HARD_FRAUD,2028-02-16,Manual Review
UID_58273,USER_ID,HARD_FRAUD,2027-07-31,External Feed
UID_77932,USER_ID,HARD_FRAUD,2028-01-10,Manual Review
ACC_181470,ACCOUNT_ID,SPOOFING,2026-10-09,ML Decision
MID_4085,MERCHANT_ID,VELOCITY_BREACH,2028-10-07,Manual Review
MID_9886,MERCHANT_ID,HARD_FRAUD,2026-07-24,ML Decision
UID_35201,USER_ID,VELOCITY_BREACH,2027-08-26,External Feed
207.4.252.134,IP_ADDRESS,SANCTIONS,2026-06-22,ML Decision
UID_11257,USER_ID,SPOOFING,2026-09-14,External Feed
ACC_275180,ACCOUNT_ID,SPOOFING,2027-06-05,ML Decision
UID_32982,USER_ID,HARD_FRAUD,2026-09-26,ML Decision
MID_7067,MERCHANT_ID,SPOOFING,2026-11-22,External Feed
MID_7405,MERCHANT_ID,HARD_FRAUD,2027-02-08,ML Decision
UID_56393,USER_ID,HARD_FRAUD,2026-12-06,ML Decision
ACC_924659,ACCOUNT_ID,SPOOFING,2028-08-15,External Feed
ACC_775411,ACCOUNT_ID,VELOCITY_BREACH,2027-08-03,ML Decision
UID_71518,USER_ID,SPOOFING,2027-08-21,ML Decision
UID_86918,USER_ID,HARD_FRAUD,2027-08-12,Manual Review
UID_96113,USER_ID,SANCTIONS,2026-01-21,Manual Review
UID_43936,USER_ID,SANCTIONS,2026-02-25,ML Decision
ACC_801615,ACCOUNT_ID,HARD_FRAUD,2027-08-31,Compliance
ACC_423227,ACCOUNT_ID,HARD_FRAUD,2028-01-17,ML Decision
217.182.113.143,IP_ADDRESS,SPOOFING,2028-09-27,Compliance
107.133.41.178,IP_ADDRESS,HARD_FRAUD,2026-09-16,Manual Review
139.227.167.156,IP_ADDRESS,SANCTIONS,2026-02-25,Compliance
UID_45119,USER_ID,SANCTIONS,2026-11-19,External Feed
ACC_327693,ACCOUNT_ID,HARD_FRAUD,2027-07-27,ML Decision
41.237.129.76,IP_ADDRESS,HARD_FRAUD,2028-09-15,Compliance
28.241.123.252,IP_ADDRESS,SPOOFING,2027-12-19,External Feed
ACC_115718,ACCOUNT_ID,WATCHLIST,2025-07-29,Manual Review
ACC_974778,ACCOUNT_ID,HARD_FRAUD,2026-04-12,Manual Review
ACC_851827,ACCOUNT_ID,HARD_FRAUD,2027-02-15,Compliance
171.76.140.90,IP_ADDRESS,SPOOFING,2026-03-28,Manual Review
UID_14953,USER_ID,HARD_FRAUD,2026-08-08,Compliance
UID_16184,USER_ID,HARD_FRAUD,2027-09-24,Manual Review
CARD_000144,CARD_HASH,HARD_FRAUD,2026-04-18,ML Decision
UID_10228,USER_ID,HARD_FRAUD,2027-04-27,ML Decision
UID_42470,USER_ID,HARD_FRAUD,2027-09-16,Manual Review
UID_85497,USER_ID,HARD_FRAUD,2025-11-07,Compliance
ACC_436069,ACCOUNT_ID,SPOOFING,2028-03-13,Manual Review
UID_61592,USER_ID,SPOOFING,2026-02-13,ML Decision
UID_51630,USER_ID,HARD_FRAUD,2028-06-28,ML Decision
UID_44819,USER_ID,SANCTIONS,2027-07-24,Manual Review
ACC_963525,ACCOUNT_ID,VELOCITY_BREACH,2026-11-18,External Feed
CARD_000153,CARD_HASH,HARD_FRAUD,2027-12-08,Manual Review
UID_80383,USER_ID,SPOOFING,2027-07-21,Manual Review
UID_34844,USER_ID,VELOCITY_BREACH,2027-09-23,External Feed
179.167.63.135,IP_ADDRESS,WATCHLIST,2026-11-26,External Feed
UID_97469,USER_ID,SPOOFING,2027-03-20,External Feed
14.5.154.54,IP_ADDRESS,SANCTIONS,2027-03-10,Manual Review
106.58.147.18,IP_ADDRESS,SANCTIONS,2028-02-19,Manual Review
11.63.136.211,IP_ADDRESS,HARD_FRAUD,2027-03-11,ML Decision
MID_1917,MERCHANT_ID,SPOOFING,2025-09-04,Manual Review
CARD_000162,CARD_HASH,VELOCITY_BREACH,2027-10-25,ML Decision
UID_96769,USER_ID,HARD_FRAUD,2026-11-16,ML Decision
ACC_681640,ACCOUNT_ID,SANCTIONS,2024-12-31,Manual Review
ACC_703621,ACCOUNT_ID,SPOOFING,2028-03-21,External Feed
UID_71239,USER_ID,SANCTIONS,2027-10-19,ML Decision
2.57.86.63,IP_ADDRESS,VELOCITY_BREACH,2027-01-10,Manual Review
MID_1392,MERCHANT_ID,SPOOFING,2028-01-11,External Feed
UID_44002,USER_ID,SPOOFING,2025-12-27,ML Decision
UID_36692,USER_ID,HARD_FRAUD,2027-10-25,External Feed
CARD_000171,CARD_HASH,SPOOFING,2025-12-12,Compliance
ACC_757297,ACCOUNT_ID,HARD_FRAUD,2028-01-31,Manual Review
ACC_747887,ACCOUNT_ID,HARD_FRAUD,2027-08-08,Manual Review
MID_7975,MERCHANT_ID,HARD_FRAUD,2027-07-08,External Feed
CARD_000175,CARD_HASH,HARD_FRAUD,2027-05-16,ML Decision
UID_62537,USER_ID,HARD_FRAUD,2027-04-23,External Feed
176.89.207.185,IP_ADDRESS,HARD_FRAUD,2027-12-07,Manual Review
175.67.215.255,IP_ADDRESS,SANCTIONS,2026-09-20,ML Decision
UID_32586,USER_ID,SPOOFING,2028-07-14,Manual Review
UID_22227,USER_ID,SPOOFING,2027-01-13,ML Decision
204.65.92.7,IP_ADDRESS,WATCHLIST,2027-09-20,External Feed
UID_43710,USER_ID,SPOOFING,2027-07-29,External Feed
UID_30145,USER_ID,VELOCITY_BREACH,2025-07-01,Manual Review
ACC_411973,ACCOUNT_ID,WATCHLIST,2026-10-15,Manual Review
UID_62280,USER_ID,HARD_FRAUD,2028-08-23,ML Decision
ACC_556256,ACCOUNT_ID,HARD_FRAUD,2027-09-01,Compliance
UID_11498,USER_ID,SPOOFING,2027-10-21,External Feed
MID_9839,MERCHANT_ID,HARD_FRAUD,2027-06-26,ML Decision
244.136.135.78,IP_ADDRESS,HARD_FRAUD,2026-11-25,ML Decision
UID_14816,USER_ID,SANCTIONS,2028-08-16,Manual Review
ACC_842600,ACCOUNT_ID,HARD_FRAUD,2025-06-10,Compliance
ACC_956703,ACCOUNT_ID,VELOCITY_BREACH,2025-11-05,External Feed
UID_19427,USER_ID,SPOOFING,2027-09-22,ML Decision
UID_15155,USER_ID,HARD_FRAUD,2027-12-24,Manual Review
ACC_744934,ACCOUNT_ID,HARD_FRAUD,2026-03-25,External Feed
MID_9741,MERCHANT_ID,SANCTIONS,2028-07-31,External Feed
238.197.78.130,IP_ADDRESS,HARD_FRAUD,2027-04-26,Manual Review
ACC_506947,ACCOUNT_ID,SPOOFING,2027-01-30,Manual Review
CARD_000199,CARD_HASH,HARD_FRAUD,2026-12-14,External Feed
83.68.83.185,IP_ADDRESS,WATCHLIST,2027-05-14,Manual Review
116.119.144.179,IP_ADDRESS,VELOCITY_BREACH,2028-05-10,ML Decision
MID_8084,MERCHANT_ID,VELOCITY_BREACH,2026-11-12,External Feed
ACC_817038,ACCOUNT_ID,HARD_FRAUD,2026-06-08,ML Decision
UID_15327,USER_ID,SPOOFING,2027-08-27,Compliance
MID_8770,MERCHANT_ID,SPOOFING,2027-09-01,External Feed
ACC_745358,ACCOUNT_ID,VELOCITY_BREACH,2028-02-24,External Feed
147.44.167.144,IP_ADDRESS,VELOCITY_BREACH,2026-01-17,Manual Review
UID_93423,USER_ID,SPOOFING,2027-09-26,ML Decision
CARD_000209,CARD_HASH,SPOOFING,2026-02-19,External Feed
ACC_385917,ACCOUNT_ID,WATCHLIST,2027-04-22,Compliance
ACC_318255,ACCOUNT_ID,VELOCITY_BREACH,2027-03-15,Manual Review
225.172.157.202,IP_ADDRESS,WATCHLIST,2028-09-02,ML Decision
UID_29451,USER_ID,HARD_FRAUD,2028-10-18,External Feed
ACC_939267,ACCOUNT_ID,WATCHLIST,2027-07-30,External Feed
158.103.87.150,IP_ADDRESS,HARD_FRAUD,2027-10-23,Manual Review
ACC_332407,ACCOUNT_ID,SANCTIONS,2028-07-29,ML Decision
199.48.5.121,IP_ADDRESS,HARD_FRAUD,2028-02-17,ML Decision
MID_1952,MERCHANT_ID,HARD_FRAUD,2026-09-17,Compliance
ACC_903990,ACCOUNT_ID,VELOCITY_BREACH,2028-09-24,Compliance
UID_28490,USER_ID,SANCTIONS,2028-06-06,External Feed
UID_57129,USER_ID,HARD_FRAUD,2026-05-03,Manual Review
ACC_652488,ACCOUNT_ID,SPOOFING,2027-11-21,Manual Review
ACC_828597,ACCOUNT_ID,WATCHLIST,2027-08-15,External Feed
MID_9338,MERCHANT_ID,SPOOFING,2026-07-28,Manual Review
UID_84276,USER_ID,SANCTIONS,2028-07-27,Manual Review
UID_80284,USER_ID,HARD_FRAUD,2027-09-15,External Feed
UID_14874,USER_ID,SPOOFING,2026-11-30,External Feed
UID_49666,USER_ID,SPOOFING,2028-01-13,Manual Review
UID_52376,USER_ID,SPOOFING,2028-05-01,Manual Review
MID_1617,MERCHANT_ID,SPOOFING,2026-11-24,External Feed
89.30.181.96,IP_ADDRESS,VELOCITY_BREACH,2026-11-24,Compliance
ACC_306246,ACCOUNT_ID,SANCTIONS,2027-02-25,ML Decision
UID_97763,USER_ID,WATCHLIST,2026-08-19,External Feed
107.74.51.75,IP_ADDRESS,SPOOFING,2026-09-13,ML Decision
UID_71735,USER_ID,SANCTIONS,2028-09-16,External Feed
UID_64159,USER_ID,HARD_FRAUD,2027-08-23,External Feed
MID_6756,MERCHANT_ID,SANCTIONS,2025-12-25,Manual Review
ACC_823720,ACCOUNT_ID,SANCTIONS,2028-02-15,ML Decision
ACC_453941,ACCOUNT_ID,HARD_FRAUD,2028-03-22,Compliance
135.210.101.87,IP_ADDRESS,SPOOFING,2027-09-15,Manual Review
105.217.126.132,IP_ADDRESS,HARD_FRAUD,2027-09-02,External Feed
156.38.12.227,IP_ADDRESS,WATCHLIST,2028-03-26,ML Decision
ACC_371325,ACCOUNT_ID,WATCHLIST,2026-05-28,External Feed
MID_4084,MERCHANT_ID,SPOOFING,2027-11-01,ML Decision
ACC_653746,ACCOUNT_ID,SPOOFING,2026-08-15,ML Decision
UID_55486,USER_ID,HARD_FRAUD,2026-01-28,ML Decision
ACC_997756,ACCOUNT_ID,HARD_FRAUD,2027-11-09,External Feed
UID_69988,USER_ID,HARD_FRAUD,2028-01-29,Manual Review
ACC_677637,ACCOUNT_ID,HARD_FRAUD,2028-08-02,Manual Review
97.107.250.244,IP_ADDRESS,HARD_FRAUD,2028-07-18,Manual Review
64.199.253.140,IP_ADDRESS,SPOOFING,2026-05-15,ML Decision
131.188.177.209,IP_ADDRESS,HARD_FRAUD,2026-03-03,Manual Review
ACC_399965,ACCOUNT_ID,HARD_FRAUD,2026-12-27,External Feed
ACC_994455,ACCOUNT_ID,HARD_FRAUD,2028-01-14,ML Decision
202.89.90.3,IP_ADDRESS,VELOCITY_BREACH,2028-03-11,ML Decision
ACC_770673,ACCOUNT_ID,SPOOFING,2028-02-10,ML Decision
ACC_507897,ACCOUNT_ID,WATCHLIST,2027-08-02,Manual Review
ACC_949133,ACCOUNT_ID,SPOOFING,2025-08-29,ML Decision
CARD_000259,CARD_HASH,HARD_FRAUD,2025-10-31,External Feed
107.99.156.190,IP_ADDRESS,SANCTIONS,2026-07-24,Manual Review
CARD_000261,CARD_HASH,HARD_FRAUD,2025-12-27,Manual Review
188.243.51.25,IP_ADDRESS,SPOOFING,2026-08-24,External Feed
230.77.42.35,IP_ADDRESS,SPOOFING,2027-11-10,Manual Review
ACC_443164,ACCOUNT_ID,SANCTIONS,2028-02-06,Compliance
CARD_000265,CARD_HASH,HARD_FRAUD,2025-11-09,External Feed
UID_24263,USER_ID,HARD_FRAUD,2028-06-19,Manual Review
UID_92682,USER_ID,SANCTIONS,2028-01-17,ML Decision
UID_10868,USER_ID,WATCHLIST,2026-01-06,Manual Review
UID_32052,USER_ID,SPOOFING,2025-12-13,Manual Review
CARD_000270,CARD_HASH,HARD_FRAUD,2025-11-01,ML Decision
MID_9206,MERCHANT_ID,SPOOFING,2026-01-17,ML Decision
CARD_000272,CARD_HASH,HARD_FRAUD,2025-12-20,Manual Review
ACC_579392,ACCOUNT_ID,HARD_FRAUD,2028-05-26,External Feed
MID_2348,MERCHANT_ID,SANCTIONS,2026-01-22,Manual Review
UID_30104,USER_ID,SPOOFING,2026-12-17,Manual Review
MID_6052,MERCHANT_ID,HARD_FRAUD,2027-12-24,Manual Review
ACC_545114,ACCOUNT_ID,SANCTIONS,2025-05-12,Compliance
ACC_743531,ACCOUNT_ID,VELOCITY_BREACH,2028-09-18,Compliance
151.35.176.227,IP_ADDRESS,HARD_FRAUD,2025-09-19,External Feed
UID_76608,USER_ID,HARD_FRAUD,2026-07-18,ML Decision
207.203.205.1,IP_ADDRESS,HARD_FRAUD,2027-12-02,ML Decision
UID_79096,USER_ID,SPOOFING,2026-04-26,ML Decision
UID_88910,USER_ID,SPOOFING,2028-10-18,Manual Review
ACC_547437,ACCOUNT_ID,VELOCITY_BREACH,2025-06-06,Manual Review
UID_83824,USER_ID,WATCHLIST,2026-01-22,Manual Review
MID_3520,MERCHANT_ID,HARD_FRAUD,2027-06-04,ML Decision
75.13.255.101,IP_ADDRESS,SANCTIONS,2026-04-20,Compliance
UID_60554,USER_ID,SANCTIONS,2027-01-26,ML Decision
MID_4961,MERCHANT_ID,HARD_FRAUD,2026-05-18,ML Decision
UID_57402,USER_ID,SPOOFING,2028-09-18,Manual Review
UID_17787,USER_ID,SPOOFING,2026-07-14,Manual Review
MID_7849,MERCHANT_ID,VELOCITY_BREACH,2025-10-05,External Feed
CARD_000293,CARD_HASH,VELOCITY_BREACH,2027-11-08,ML Decision
ACC_365957,ACCOUNT_ID,HARD_FRAUD,2026-11-21,ML Decision
76.210.80.126,IP_ADDRESS,SANCTIONS,2025-12-11,Manual Review
MID_7407,MERCHANT_ID,SANCTIONS,2027-07-24,Manual Review
CARD_000297,CARD_HASH,SANCTIONS,2027-07-21,External Feed
MID_1119,MERCHANT_ID,HARD_FRAUD,2026-01-19,ML Decision
UID_46304,USER_ID,HARD_FRAUD,2026-06-28,ML Decision
ACC_912429,ACCOUNT_ID,WATCHLIST,2028-10-10,Compliance
ACC_108921,ACCOUNT_ID,HARD_FRAUD,2028-01-09,Manual Review
CARD_000302,CARD_HASH,SPOOFING,2028-02-20,External Feed
ACC_750394,ACCOUNT_ID,WATCHLIST,2027-09-30,ML Decision
ACC_492612,ACCOUNT_ID,HARD_FRAUD,2026-10-19,Compliance
22.93.113.72,IP_ADDRESS,SPOOFING,2026-10-01,ML Decision
ACC_478419,ACCOUNT_ID,SANCTIONS,2028-04-21,ML Decision
UID_77867,USER_ID,WATCHLIST,2027-11-27,Compliance
MID_8016,MERCHANT_ID,SANCTIONS,2026-10-23,Manual Review
UID_75058,USER_ID,HARD_FRAUD,2026-01-22,Manual Review
CARD_000310,CARD_HASH,HARD_FRAUD,2026-07-29,External Feed
UID_19098,USER_ID,SANCTIONS,2028-04-21,Manual Review
UID_77162,USER_ID,SPOOFING,2026-02-20,Manual Review
UID_72925,USER_ID,SPOOFING,2028-03-21,External Feed
ACC_740015,ACCOUNT_ID,HARD_FRAUD,2027-12-22,ML Decision
UID_24263,USER_ID,HARD_FRAUD,2027-03-04,Manual Review
UID_59982,USER_ID,SANCTIONS,2027-03-15,ML Decision
CARD_000317,CARD_HASH,SANCTIONS,2025-07-20,Manual Review
MID_7449,MERCHANT_ID,SPOOFING,2026-12-27,Manual Review
9.229.248.163,IP_ADDRESS,SANCTIONS,2026-10-12,Manual Review
CARD_000320,CARD_HASH,SPOOFING,2026-03-06,ML Decision
UID_87814,USER_ID,SPOOFING,2026-09-22,Manual Review
195.249.191.150,IP_ADDRESS,WATCHLIST,2028-07-29,ML Decision
UID_31648,USER_ID,VELOCITY_BREACH,2026-03-04,ML Decision
ACC_910779,ACCOUNT_ID,HARD_FRAUD,2025-12-06,External Feed
231.168.20.27,IP_ADDRESS,SPOOFING,2026-11-08,ML Decision
UID_68583,USER_ID,SPOOFING,2027-12-30,Manual Review
130.194.139.127,IP_ADDRESS,HARD_FRAUD,2026-12-01,Manual Review
UID_27454,USER_ID,HARD_FRAUD,2027-02-12,External Feed
68.87.222.34,IP_ADDRESS,HARD_FRAUD,2026-10-21,ML Decision
ACC_768668,ACCOUNT_ID,SPOOFING,2027-04-02,Compliance
UID_39607,USER_ID,HARD_FRAUD,2026-08-19,Compliance
MID_1497,MERCHANT_ID,HARD_FRAUD,2025-12-12,ML Decision
ACC_527630,ACCOUNT_ID,SANCTIONS,2027-03-20,External Feed
ACC_326871,ACCOUNT_ID,WATCHLIST,2028-06-10,ML Decision
ACC_239207,ACCOUNT_ID,HARD_FRAUD,2028-01-06,Compliance
CARD_000336,CARD_HASH,VELOCITY_BREACH,2027-08-17,Manual Review
239.86.214.82,IP_ADDRESS,WATCHLIST,2027-05-03,ML Decision
UID_69833,USER_ID,HARD_FRAUD,2027-04-14,ML Decision
UID_80358,USER_ID,HARD_FRAUD,2027-06-16,ML Decision
ACC_580797,ACCOUNT_ID,SPOOFING,2028-04-23,Manual Review
UID_57541,USER_ID,SPOOFING,2027-01-27,Manual Review
UID_64685,USER_ID,SPOOFING,2025-12-19,Manual Review
MID_8873,MERCHANT_ID,SPOOFING,2025-11-22,External Feed
ACC_793914,ACCOUNT_ID,SPOOFING,2028-04-24,ML Decision
MID_3186,MERCHANT_ID,SANCTIONS,2028-10-13,Manual Review
UID_24653,USER_ID,WATCHLIST,2026-11-28,ML Decision
UID_68534,USER_ID,SPOOFING,2026-08-26,Manual Review
UID_97929,USER_ID,WATCHLIST,2027-11-30,External Feed
UID_18425,USER_ID,HARD_FRAUD,2027-07-17,External Feed
CARD_000350,CARD_HASH,SPOOFING,2027-07-18,ML Decision
80.3.137.53,IP_ADDRESS,SPOOFING,2028-09-27,External Feed
ACC_140668,ACCOUNT_ID,HARD_FRAUD,2027-07-16,Manual Review
MID_4801,MERCHANT_ID,WATCHLIST,2025-01-18,Compliance
UID_14413,USER_ID,HARD_FRAUD,2026-10-16,Manual Review
63.66.129.124,IP_ADDRESS,VELOCITY_BREACH,2026-11-04,External Feed
94.203.175.2,IP_ADDRESS,SPOOFING,2026-04-08,Compliance
100.156.102.100,IP_ADDRESS,HARD_FRAUD,2026-12-06,Manual Review
ACC_861232,ACCOUNT_ID,WATCHLIST,2026-09-14,ML Decision
105.77.246.85,IP_ADDRESS,SPOOFING,2025-12-02,External Feed
ACC_538568,ACCOUNT_ID,HARD_FRAUD,2025-12-10,Manual Review
UID_10643,USER_ID,HARD_FRAUD,2027-11-07,Manual Review
154.9.195.141,IP_ADDRESS,HARD_FRAUD,2026-10-17,ML Decision
ACC_364475,ACCOUNT_ID,SANCTIONS,2027-03-13,Manual Review
ACC_173057,ACCOUNT_ID,SPOOFING,2026-12-23,Compliance
UID_91829,USER_ID,VELOCITY_BREACH,2026-02-19,Manual Review
CARD_000366,CARD_HASH,HARD_FRAUD,2026-02-01,ML Decision
ACC_814840,ACCOUNT_ID,HARD_FRAUD,2026-02-09,External Feed
CARD_000368,CARD_HASH,HARD_FRAUD,2025-09-24,ML Decision
196.235.111.182,IP_ADDRESS,HARD_FRAUD,2025-11-29,External Feed
MID_5911,MERCHANT_ID,SANCTIONS,2027-10-19,Manual Review
MID_8497,MERCHANT_ID,SPOOFING,2027-01-26,Manual Review
58.113.87.152,IP_ADDRESS,HARD_FRAUD,2026-04-02,Manual Review
ACC_179839,ACCOUNT_ID,SPOOFING,2028-09-12,External Feed
MID_2304,MERCHANT_ID,SPOOFING,2028-10-13,External Feed
